"","grp","chng_type","Source","Zone","SubzoneGroup","Subzone","BGC","BGCName","ZoneName","SubzoneName","VariantName","General.Location","OldSubzoneLabel","DataSet","State","Notes","colour","notinTHLB"
"70",146,"-","BGCv11","ESSF","ESSF_meso","ESSFmvp","ESSFmvp","Moist Very Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Moist Very Cold Parkland","","","","BC","BC","","#AF47CBFF",""
"71",150,"+","BGCv11","ESSF","ESSF_meso","ESSFmwp","ESSFmwp","Moist Warm Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Moist Warm Parkland","","","","BC","BC","","#BA6DD4FF","x"
"72",150,"-","BGCv11","ESSF","ESSF_meso","ESSFmwp","ESSFmwp","Moist Warm Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Moist Warm Parkland","","","","BC","BC","","#BA6DD4FF",""
"73",153,"+","BGCv13","ESSF","","ESSFun","ESSFun1","Undifferentiated Central Coast ESSF","Engelmann Spruce  –  Subalpine Fir","Undifferentiated"," Central Coast",NA,"ESSFmw portion","BC","BC",NA,"#D623C1FF","x"
"74",153,"-","BGCv13","ESSF","","ESSFun","ESSFun1","Undifferentiated Central Coast ESSF","Engelmann Spruce  –  Subalpine Fir","Undifferentiated"," Central Coast",NA,"ESSFmw portion","BC","BC",NA,"#D623C1FF",""
"75",154,"+","BGCv13","ESSF","","ESSFun","ESSFun2","Undifferentiated Stikine EESF","Engelmann Spruce  –  Subalpine Fir","Undifferentiated","Stikine ",NA,"ESSFun","BC","BC",NA,"#921AD2FF","x"
"76",154,"-","BGCv13","ESSF","","ESSFun","ESSFun2","Undifferentiated Stikine EESF","Engelmann Spruce  –  Subalpine Fir","Undifferentiated","Stikine ",NA,"ESSFun","BC","BC",NA,"#921AD2FF",""
"77",155,"+","BGCv11","ESSF","ESSF_meso","ESSFunp","ESSFunp","Undifferentiated Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Undifferentiated Parkland","","","","BC","BC","","#A52EEAFF","x"
"78",155,"-","BGCv11","ESSF","ESSF_meso","ESSFunp","ESSFunp","Undifferentiated Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Undifferentiated Parkland","","","","BC","BC","","#A52EEAFF",""
"79",157,"+","BGCv11","ESSF","ESSF_wet","ESSFvcp","ESSFvcp","Very Wet Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Very Wet Cold Parkland","","","","BC","BC","","#BF4DC9FF","x"
"80",157,"-","BGCv11","ESSF","ESSF_wet","ESSFvcp","ESSFvcp","Very Wet Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Very Wet Cold Parkland","","","","BC","BC","","#BF4DC9FF",""
"81",163,"+","BGCv11","ESSF","ESSF_wet","ESSFwcp","ESSFwcp","Wet Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Cold Parkland","","","","BC","BC","","#B22DCFFF","x"
"82",163,"-","BGCv11","ESSF","ESSF_wet","ESSFwcp","ESSFwcp","Wet Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Cold Parkland","","","","BC","BC","","#B22DCFFF",""
"83",176,"+","BGCv11","ESSF","ESSF_wet","ESSFwmp","ESSFwmp","Wet Mild Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Mild Parkland","","","","BC","BC","","#C35AD8FF","x"
"84",176,"-","BGCv11","ESSF","ESSF_wet","ESSFwmp","ESSFwmp","Wet Mild Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Mild Parkland","","","","BC","BC","","#C35AD8FF",""
"85",180,"+","BGCv11","ESSF","ESSF_wet","ESSFwvp","ESSFwvp","Wet Very Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Very Cold Parkland","","","","BC","BC","","#A13ACAFF","x"
"86",180,"-","BGCv11","ESSF","ESSF_wet","ESSFwvp","ESSFwvp","Wet Very Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Wet Very Cold Parkland","","","","BC","BC","","#A13ACAFF",""
"87",187,"+","BGCv11","ESSF","ESSF_dry","ESSFxcp","ESSFxcp","Very Dry Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Cold Parkland","","","","BC","BC","","#AD41ECFF","x"
"88",187,"-","BGCv11","ESSF","ESSF_dry","ESSFxcp","ESSFxcp","Very Dry Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Cold Parkland","","","","BC","BC","","#AD41ECFF",""
"89",200,"+","BGCv11","ESSF","ESSF_dry","ESSFxvp","ESSFxvp","Very Dry Very Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Very Cold Parkland","","","","BC","BC","","#7145DEFF","x"
"90",200,"-","BGCv11","ESSF","ESSF_dry","ESSFxvp","ESSFxvp","Very Dry Very Cold Parkland ESSF","Engelmann Spruce  –  Subalpine Fir","Very Dry Very Cold Parkland","","","","BC","BC","","#7145DEFF",""
