"","SS_NoSpace","chng_type","SiteSeriesLongName","SpecialCode","Special"
"528","SBSwk3a/Ro","+","","Ro","rocky outcrop"
"529","SWBmks/00","+","",NA,NA
"530","SWBun1/h","+","",NA,NA
"531","SWBun1/m","+","",NA,NA
"532","SWBun1/x","+","",NA,NA
"533","SWBuns/00","+","",NA,NA
"534","SWBvk/h","+","",NA,NA
"535","SWBvk/m","+","",NA,NA
"536","SWBvk/x","+","",NA,NA
"537","SWBvks/00","+","",NA,NA
