"","SS_NoSpace","chng_type","SiteSeriesLongName","SpecialCode","Special"
"1232","CWHws3/Ws51.2","+","Sitka willow – Pacific willow – Skunk cabbage; Small-flowered bulrush variation","Ws","wetland swamp"
"1233","CWHws3/Ws56","+","SsHw – Skunk cabbage","Ws","wetland swamp"
"1234","CWHws3/Ws56.2","+","SsHw – Skunk cabbage; CwSs variation","Ws","wetland swamp"
"1235","CWHws3/Ws58","+","CwHw – Slough sedge","Ws","wetland swamp"
"1236","CWHws3/Ws58.1","+","CwHw – Slough sedge; Typic variation","Ws","wetland swamp"
"1237","CWHxm1/Wb50","+","Labrador tea – Bog-laurel – Peat mosses","Wb","wetland bog "
"1238","CWHxm1/Wf53","+","Slender sedge – White beakrush","Wf","wetland fen"
"1239","CWHxm1/Wm05","+","Cattail","Wm","wetland marsh"
"1240","CWHxm1/Wm06","+","Soft-stemmed bulrush","Wm","wetland marsh"
"1241","CWHxm1/Wm09","+","Inflated sedge","Wm","wetland marsh"
"1242","CWHxm1/Wm50","+","Sitka sedge – Water-parsley","Wm","wetland marsh"
"1243","CWHxm1/Ws50","+","Pink spirea – Sitka sedge","Ws","wetland swamp"
"1244","CWHxm2/Wb50","+","Labrador tea – Bog-laurel – Peat mosses","Wb","wetland bog "
"1245","CWHxm2/Wf53","+","Slender sedge – White beakrush","Wf","wetland fen"
"1246","CWHxm2/Wm05","+","Cattail","Wm","wetland marsh"
"1247","CWHxm2/Wm51","+","Three-way marsh-sedge","Wm","wetland marsh"
"1248","CWHxm2/Ws50","+","Pink spirea – Sitka sedge","Ws","wetland swamp"
"1249","CWHxs/101","+","FdcHw – Dull Oregon-grape – Falsebox",NA,NA
"1250","CWHxs/101.1","+","FdcHw – Dull Oregon-grape – Falsebox; Typic variation",NA,NA
"1251","CWHxs/101.2","+","FdcHw – Dull Oregon-grape – Falsebox; Rhododendron variation",NA,NA
"1252","CWHxs/102","+","Fdc – Kinnikinnick – Feather moss – Reindeer lichens",NA,NA
"1253","CWHxs/103","+","Fdc – Dull Oregon-grape – Feather moss",NA,NA
"1254","CWHxs/103.1","+","Fdc – Dull Oregon-grape – Feather moss; Typic variation",NA,NA
"1255","CWHxs/103.2","+","Fdc – Dull Oregon-grape – Feather moss; Rhododendron variation",NA,NA
"1256","CWHxs/110","+","CwFdc – Vine maple – Dull Oregon-grape",NA,NA
"1257","CWHxs/111","+","Hw – Queen's cup",NA,NA
"1258","CWHxs/112","+","CwFdc – Vine maple – Foamflower",NA,NA
"1259","CWHxs/Fl52","+","Sitka willow – Salmonberry – Horsetail","Fl","low fluvial bench"
"1260","CWHxs/Fm52","+","ActCw – Vine maple – Devil's club","Fm","mid fluvial bench"
"1261","CWHxs/Ro60","+","Wallace's selaginella – Long rock moss","Ro","rocky outcrop"
"1262","CWHxs/Ro60.2","+","Wallace's selaginella – Long rock moss; Parsley fern variation","Ro","rocky outcrop"
"1263","CWHxs/Ro61","+","Grey rock moss – Clad lichens","Ro","rocky outcrop"
"1264","CWHxs/Ro61.1","+","Grey rock moss – Clad lichens; Typic variation","Ro","rocky outcrop"
"1265","CWHxs/Ro61.2","+","Grey rock moss – Clad lichens; Parsley fern variation","Ro","rocky outcrop"
"1266","CWHxs/Wb55","+","Plc – Labrador tea – Peat mosses","Wb","wetland bog "
"1267","CWHxs/Wf51","+","Sitka sedge – Peat mosses","Wf","wetland fen"
"1268","CWHxs/Wf52","+","Sweet gale – Sitka sedge","Wf","wetland fen"
"1269","CWHxs/Ws56","+","SsHw – Skunk cabbage","Ws","wetland swamp"
"1270","CWHxs/Ws56.1","+","SsHw – Skunk cabbage; CwHw variation","Ws","wetland swamp"
"1271","ESSFdc1/101","+","BlSe – Rhododendron – Valerian",NA,NA
"1272","ESSFdc1/102","+","BlPl – Huckleberry",NA,NA
"1273","ESSFdc1/103","+","BlPl – Falsebox – Grouseberry",NA,NA
"1274","ESSFdc1/104","+","Bl – Rhododendron – Grouseberry",NA,NA
"1275","ESSFdc1/110","+","BlSe – Rhododendron – Hellebore",NA,NA
"1276","ESSFdc1/111","+","Bl – Valerian – Foamflower",NA,NA
"1277","ESSFdc1/112","+","Se – Horsetail – Globeflower",NA,NA
"1278","ESSFdc1/112a","+","Se – Horsetail – Globeflower; Riparian phase",NA,NA
"1279","ESSFdc1/112b","+","Se – Valerian – Horsetail; Swamp phase",NA,NA
"1280","ESSFdc1/Ff01","+","Water birch – Red-osier dogwood – Rose","Ff","fringe fluvial "
"1281","ESSFdc1/Ff01a","+","Water birch – Red-osier dogwood – Rose; Fringe phase","Ff","fringe fluvial "
"1282","ESSFdc1/Fl05","+","Drummond's willow – Bluejoint","Fl","low fluvial bench"
"1283","ESSFdc1/Ro06","+","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1284","ESSFdc1/Ro06.1","+","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1285","ESSFdc1/Ro06.2","+","Juniper – Kinnikinnick – Stonecrop – Sandwort","Ro","rocky outcrop"
"1286","ESSFdc1/Ro10","+","Huckleberry – Rock moss – Haircap moss","Ro","rocky outcrop"
"1287","ESSFdc1/Ro11","+","Grouseberry – Clad lichen","Ro","rocky outcrop"
"1288","ESSFdc1/Rt01","+","Rocktripe – Green map","Rt","talus"
"1289","ESSFdc1/Rt07","+","Aspen – Juniper – Rocktripe","Rt","talus"
"1290","ESSFdc1/Rt07.1","+","Aspen – Juniper – Rocktripe; Aspen variation","Rt","talus"
"1291","ESSFdc1/Rt07.2","+","Juniper – Rocktripe","Rt","talus"
"1292","ESSFdc1/Vh02","+","Valerian – Hellebore – Fireweed","Vh","avalanche herb"
"1293","ESSFdc1/Vh02.1","+","Valerian – Hellebore – Fireweed","Vh","avalanche herb"
"1294","ESSFdc1/Vh10","+","Fireweed – Grouseberry","Vh","avalanche herb"
"1295","ESSFdc1/Vh11","+","Fireweed – Yarrow – Strawberry","Vh","avalanche herb"
"1296","ESSFdc1/Vs02","+","Sitka alder – Solomon's-seal","Vs","avalanche shrub"
"1297","ESSFdc1/Vs03","+","Sitka alder – Hellebore","Vs","avalanche shrub"
"1298","ESSFdc1/Vs10","+","Willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1299","ESSFdc1/Vs10.1","+","Sitka willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1300","ESSFdc1/Vs10.2","+","Barclay's willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1301","ESSFdc1/Vs12","+","Huckleberry – Rhododendron – Fireweed","Vs","avalanche shrub"
"1302","ESSFdc1/Wb16","+","Sxw – Trapper's tea – Peat moss","Wb","wetland bog "
"1303","ESSFdc1/Wf01","+","Water sedge – Beaked sedge","Wf","wetland fen"
"1304","ESSFdc1/Wf03","+","Water sedge – Peat moss","Wf","wetland fen"
"1305","ESSFdc1/Wf09","+","Few-flowered spikerush – Hook moss","Wf","wetland fen"
"1306","ESSFdc1/Wf13","+","Narrow-leaved cotton-grass – Shore sedge","Wf","wetland fen"
"1307","ESSFdc1/Wm01","+","Beaked sedge – Water sedge","Wm","wetland marsh"
"1308","ESSFdc1/Wm16","+","Bluejoint – Arrow-leaved groundsel","Wm","wetland marsh"
"1309","ESSFdc1/Ws08","+","Bl – Valerian – Horsetail","Ws","wetland swamp"
"1310","ESSFdc1/Ws08.1","+","Bl – Valerian – Horsetail","Ws","wetland swamp"
"1311","ESSFdc1/Ws08.2","+","SxwBl – Horsetail – Canby's Lovage","Ws","wetland swamp"
"1312","ESSFdc1/Ws13","+","Barclay's willow – Common horsetail – Arrow-leaved groundsel","Ws","wetland swamp"
"1313","ESSFdc2/101","+","BlSe – Rhododendron – Valerian",NA,NA
"1314","ESSFdc2/102","+","Pl – Juniper – Grouseberry – Clad lichens",NA,NA
"1315","ESSFdc2/104","+","BlPl – Grouseberry – Clad lichens",NA,NA
"1316","ESSFdc2/111","+","BlSe – Valerian – Globeflower",NA,NA
"1317","ESSFdc2/112","+","Se – Horsetail – Valerian",NA,NA
"1318","ESSFdc2/Ro06","+","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1319","ESSFdc2/Ro06.1","+","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1320","ESSFdc2/Ro06.2","+","Juniper – Kinnikinnick – Stonecrop – Sandwort","Ro","rocky outcrop"
"1321","ESSFdc2/Ro11","+","Grouseberry – Clad lichen","Ro","rocky outcrop"
"1322","ESSFdc2/Rt01","+","Rocktripe – Green map","Rt","talus"
"1323","ESSFdc2/Rt20","+","Spotted saxifrage – Clad lichen","Rt","talus"
"1324","ESSFdc2/Wb16","+","Sxw – Trapper's tea – Peat moss","Wb","wetland bog "
"1325","ESSFdc2/Wf01","+","Water sedge – Beaked sedge","Wf","wetland fen"
"1326","ESSFdc2/Wf02","+","Scrub birch – Water sedge","Wf","wetland fen"
"1327","ESSFdc2/Wf03","+","Water sedge – Peat moss","Wf","wetland fen"
"1328","ESSFdc2/Wf04","+","Barclay's willow – Water sedge – Glow moss","Wf","wetland fen"
"1329","ESSFdc2/Wf06","+","Slender sedge – Buckbean","Wf","wetland fen"
"1330","ESSFdc2/Wf07","+","Scrub birch – Buckbean – Shore sedge","Wf","wetland fen"
"1331","ESSFdc2/Wf08","+","Shore sedge – Buckbean – Hook moss","Wf","wetland fen"
"1332","ESSFdc2/Wf09","+","Few-flowered spikerush – Hook moss","Wf","wetland fen"
"1333","ESSFdc2/Wf11","+","Tufted clubrush – Star moss","Wf","wetland fen"
"1334","ESSFdc2/Wf12","+","Narrow-leaved cotton-grass – Marsh-marigold","Wf","wetland fen"
"1335","ESSFdc2/Wf13","+","Narrow-leaved cotton-grass – Shore sedge","Wf","wetland fen"
"1336","ESSFdc2/Wm01","+","Beaked sedge – Water sedge","Wm","wetland marsh"
"1337","ESSFdc2/Wm09","+","Inflated sedge","Wm","wetland marsh"
"1338","ESSFdc2/Wm16","+","Bluejoint – Arrow-leaved groundsel","Wm","wetland marsh"
"1339","ESSFdc2/Ws02","+","Mountain alder – Pink spirea – Sitka sedge","Ws","wetland swamp"
"1340","ESSFdc2/Ws04","+","Drummond's willow – Beaked sedge","Ws","wetland swamp"
"1341","ESSFdc2/Ws08","+","Bl – Valerian – Horsetail","Ws","wetland swamp"
"1342","ESSFdc2/Ws08.1","+","Bl – Valerian – Horsetail","Ws","wetland swamp"
"1343","ESSFdc2/Ws13","+","Barclay's willow – Common horsetail – Arrow-leaved groundsel","Ws","wetland swamp"
"1344","ESSFdc3/01","+","Bl – Rhododendron – Grouseberry",NA,NA
"1345","ESSFdc3/02","+","Juniper – Pinegrass",NA,NA
"1346","ESSFdc3/03","+","PlSe – Falsebox – Pinegrass",NA,NA
"1347","ESSFdc3/04","+","Bl – Grouseberry – Cladonia",NA,NA
"1348","ESSFdc3/05","+","Bl – Huckleberry – Feather moss",NA,NA
"1349","ESSFdc3/06","+","Bl – Gooseberry – Oak fern",NA,NA
"1350","ESSFdc3/07","+","Bl – Rhododendron – Valerian",NA,NA
"1351","ESSFdc3/08","+","Bl – Trapper's tea",NA,NA
"1352","ESSFdc3/09","+","Sedge – Sphagnum",NA,NA
"1353","ESSFdc3/Fl07","+","Water birch – Rose","Fl","low fluvial bench"
"1354","ESSFdc3/Wf01","+","Water sedge – Beaked sedge","Wf","wetland fen"
"1355","ESSFdc3/Wf02","+","Scrub birch – Water sedge","Wf","wetland fen"
"1356","ESSFdc3/Wf04","+","Barclay's willow – Water sedge – Glow moss","Wf","wetland fen"
"1357","ESSFdc3/Wf11","+","Tufted clubrush – Star moss","Wf","wetland fen"
"1358","ESSFdc3/Wf13","+","Narrow-leaved cotton-grass – Shore sedge","Wf","wetland fen"
"1359","ESSFdcp/Ag01","+","Timber oatgrass – Grouseberry – Sandwort","Ag","alpine grassland"
"1360","ESSFdcp/Ag03","+","Timber oatgrass – Kinnikinnick","Ag","alpine grassland"
"1361","ESSFdcp/Ro06","+","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1362","ESSFdcp/Ro06.1","+","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1363","ESSFdcp/Ro06.2","+","Juniper – Kinnikinnick – Stonecrop – Sandwort","Ro","rocky outcrop"
"1364","ESSFdcw/101","+","Bl – Valerian – Woodrush",NA,NA
"1365","ESSFdcw/102","+","BlPa – Grouseberry",NA,NA
"1366","ESSFdcw/103","+","Bl – Rhododendron – Grouseberry",NA,NA
"1367","ESSFdcw/110","+","Bl – Valerian – Hellebore – Globeflower",NA,NA
"1368","ESSFdcw/Ag01","+","Timber oatgrass – Grouseberry – Sandwort","Ag","alpine grassland"
"1369","ESSFdcw/Ag03","+","Timber oatgrass – Kinnikinnick","Ag","alpine grassland"
"1370","ESSFdcw/Ro06","+","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1371","ESSFdcw/Ro06.1","+","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1372","ESSFdcw/Ro06.2","+","Juniper – Kinnikinnick – Stonecrop – Sandwort","Ro","rocky outcrop"
"1373","ESSFdcw/Ro10","+","Huckleberry – Rock moss – Haircap moss","Ro","rocky outcrop"
"1374","ESSFdcw/Ro11","+","Grouseberry – Clad lichen","Ro","rocky outcrop"
"1375","ESSFdcw/Rt01","+","Rocktripe – Green map","Rt","talus"
"1376","ESSFdcw/Vh02","+","Valerian – Hellebore – Fireweed","Vh","avalanche herb"
"1377","ESSFdcw/Vh02.1","+","Valerian – Hellebore – Fireweed","Vh","avalanche herb"
"1378","ESSFdcw/Vh10","+","Fireweed – Grouseberry","Vh","avalanche herb"
"1379","ESSFdcw/Vh11","+","Fireweed – Yarrow – Strawberry","Vh","avalanche herb"
"1380","ESSFdcw/Vs03","+","Sitka alder – Hellebore","Vs","avalanche shrub"
"1381","ESSFdcw/Vs10","+","Willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1382","ESSFdcw/Vs10.1","+","Sitka willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1383","ESSFdcw/Vs10.2","+","Barclay's willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1384","ESSFdcw/Wf01","+","Water sedge – Beaked sedge","Wf","wetland fen"
"1385","ESSFdcw/Wf03","+","Water sedge – Peat moss","Wf","wetland fen"
"1386","ESSFdcw/Wf04","+","Barclay's willow – Water sedge – Glow moss","Wf","wetland fen"
"1387","ESSFdcw/Wf12","+","Narrow-leaved cotton-grass – Marsh-marigold","Wf","wetland fen"
"1388","ESSFdcw/Wf13","+","Narrow-leaved cotton-grass – Shore sedge","Wf","wetland fen"
"1389","ESSFdcw/Wm01","+","Beaked sedge – Water sedge","Wm","wetland marsh"
"1390","ESSFdcw/Wm16","+","Bluejoint – Arrow-leaved groundsel","Wm","wetland marsh"
"1391","ESSFdcw/Ws08.2","+","SeBl – Horsetail – Canby's Lovage","Ws","wetland swamp"
"1392","ESSFdcw/Ws13","+","Barclay's willow – Common horsetail – Arrow-leaved groundsel","Ws","wetland swamp"
"1393","ESSFdh1/101","+","BlBa – Huckleberry – Pipecleaner moss",NA,NA
"1394","ESSFdh1/102","+","FdBl – Falsebox – Rock mosses",NA,NA
"1395","ESSFdh1/103","+","BlPl – Falsebox – Grouseberry",NA,NA
"1396","ESSFdh1/110","+","SeBl(Ba) – Oak fern – Bramble",NA,NA
"1397","ESSFdh1/111","+","SeBl – Horsetail – Oak fern",NA,NA
"1398","ESSFdh1/Ro05","+","Juniper – Kinnikinnick – Penstemon","Ro","rocky outcrop"
"1399","ESSFdh1/Ro05.1","+","Juniper – Kinnikinnick – Penstemon","Ro","rocky outcrop"
"1400","ESSFdh1/Ro05.2","+","Juniper – Kinnikinnick – Penstemon – Screw moss","Ro","rocky outcrop"
"1401","ESSFdh1/Ro06","+","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1402","ESSFdh1/Ro06.1","+","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1403","ESSFdh1/Ro06.2","+","Juniper – Kinnikinnick – Stonecrop – Sandwort","Ro","rocky outcrop"
"1404","ESSFdh1/Ro11","+","Grouseberry – Clad lichen","Ro","rocky outcrop"
"1405","ESSFdh1/Rt01","+","Rocktripe – Green map","Rt","talus"
"1406","ESSFdh1/Rt02","+","Rock moss – Clad lichen","Rt","talus"
"1407","ESSFdh1/Vh01","+","Cow parsnip – Fireweed – Nettle","Vh","avalanche herb"
"1408","ESSFdh1/Vh01.1","+","Cow parsnip – Fireweed – Nettle","Vh","avalanche herb"
"1409","ESSFdh1/Vh02","+","Valerian – Hellebore – Fireweed","Vh","avalanche herb"
"1410","ESSFdh1/Vh03","+","Lady fern – Hellebore – Valerian","Vh","avalanche herb"
"1411","ESSFdh1/Vh04","+","Valerian – Meadowrue – Waterleaf","Vh","avalanche herb"
"1412","ESSFdh1/Vs01","+","Sitka alder – Lady fern","Vs","avalanche shrub"
"1413","ESSFdh1/Vs01.1","+","Sitka alder – Lady fern","Vs","avalanche shrub"
"1414","ESSFdh1/Vs01.2","+","Sitka alder – Spiny wood fern","Vs","avalanche shrub"
"1415","ESSFdh1/Vs02","+","Sitka alder – Solomon's-seal","Vs","avalanche shrub"
"1416","ESSFdh1/Vs04","+","Sitka alder – Devil's club – Oak fern","Vs","avalanche shrub"
"1417","ESSFdh1/Vs05","+","Sitka alder – Waterleaf","Vs","avalanche shrub"
"1418","ESSFdh1/Vs10","+","Willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1419","ESSFdh1/Vs10.1","+","Sitka willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1420","ESSFdh1/Vs10.2","+","Barclay's willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1421","ESSFdh1/Vs11","+","Thimbleberry – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1422","ESSFdh1/Vs14","+","Saskatoon – Snowberry – Strawberry","Vs","avalanche shrub"
"1423","ESSFdh1/Vs50","+","Sitka alder – Salmonberry","Vs","avalanche shrub"
"1424","ESSFdh1/Wf01","+","Water sedge – Beaked sedge","Wf","wetland fen"
"1425","ESSFdh1/Wf03","+","Water sedge – Peat moss","Wf","wetland fen"
"1426","ESSFdh1/Wf04","+","Barclay's willow – Water sedge – Glow moss","Wf","wetland fen"
"1427","ESSFdh1/Wf05","+","Slender sedge – Common hook moss","Wf","wetland fen"
"1428","ESSFdh1/Wf06","+","Slender sedge – Buckbean","Wf","wetland fen"
"1429","ESSFdh1/Wf07","+","Scrub birch – Buckbean – Shore sedge","Wf","wetland fen"
"1430","ESSFdh1/Wf08","+","Shore sedge – Buckbean – Hook moss","Wf","wetland fen"
"1431","ESSFdh1/Wf09","+","Few-flowered spikerush – Hook moss","Wf","wetland fen"
"1432","ESSFdh1/Wf11","+","Tufted clubrush – Star moss","Wf","wetland fen"
"1433","ESSFdh1/Wf12","+","Narrow-leaved cotton-grass – Marsh-marigold","Wf","wetland fen"
"1434","ESSFdh1/Wf13","+","Narrow-leaved cotton-grass – Shore sedge","Wf","wetland fen"
"1435","ESSFdh1/Wm01","+","Beaked sedge – Water sedge","Wm","wetland marsh"
"1436","ESSFdh1/Wm09","+","Inflated sedge","Wm","wetland marsh"
"1437","ESSFdh1/Wm16","+","Bluejoint – Arrow-leaved groundsel","Wm","wetland marsh"
"1438","ESSFdh1/Ws02","+","Mountain alder – Pink spirea – Sitka sedge","Ws","wetland swamp"
"1439","ESSFdh1/Ws07","+","Sxw – Horsetail – Leafy moss","Ws","wetland swamp"
"1440","ESSFdh1/Ws07.1","+","Sxw – Horsetail – Leafy moss; Typic variation","Ws","wetland swamp"
"1441","ESSFdh1/Ws07.2","+","Sxw – Horsetail – Leafy moss; Soft-leaved sedge variation","Ws","wetland swamp"
"1442","ESSFdh1/Ws13","+","Barclay's willow – Common horsetail – Arrow-leaved groundsel","Ws","wetland swamp"
"1443","ESSFdk1/101","+","BlSe – Azalea",NA,NA
"1444","ESSFdk1/102","+","PlFd – Juniper – Douglas' maple",NA,NA
"1445","ESSFdk1/104","+","BlPl – Azalea – Grouseberry",NA,NA
"1446","ESSFdk1/110","+","BlSe – Azalea – Foamflower",NA,NA
"1447","ESSFdk1/111","+","Se – Horsetail – Bluejoint",NA,NA
"1448","ESSFdk1/111a","+","Se – Horsetail – Bluejoint; Riparian phase",NA,NA
"1449","ESSFdk1/111b","+","Se – Horsetail – Bluejoint; Swamp phase",NA,NA
"1450","ESSFdk1/Ag01","+","Timber oatgrass – Grouseberry – Sandwort","Ag","alpine grassland"
"1451","ESSFdk1/Fl01","+","Mountain alder – Common horsetail","Fl","low fluvial bench"
"1452","ESSFdk1/Fl05","+","Drummond's willow – Bluejoint","Fl","low fluvial bench"
"1453","ESSFdk1/Gb20","+","Saskatoon – Soopolallie – Juniper","Gb","brushland"
"1454","ESSFdk1/Gg14","+","Idaho fescue – Sulphur buckwheat – Sandwort","Gg","grassland "
"1455","ESSFdk1/Gg16","+","Rough fescue – Sulphur buckwheat – Sandwort","Gg","grassland "
"1456","ESSFdk1/Gg17","+","Idaho fescue – Bluebunch wheatgrass – Sulphur buckwheat","Gg","grassland "
"1457","ESSFdk1/Gg33","+","Pinegrass – Yellow penstemon","Gg","grassland "
"1458","ESSFdk1/Ro06","+","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1459","ESSFdk1/Ro07","+","Juniper – Soopolallie – Shrubby cinquefoil","Ro","rocky outcrop"
"1460","ESSFdk1/Ro10","+","Huckleberry – Rock moss – Haircap moss","Ro","rocky outcrop"
"1461","ESSFdk1/Ro11","+","Grouseberry – Clad lichen","Ro","rocky outcrop"
"1462","ESSFdk1/Rt01","+","Rocktripe – Green map","Rt","talus"
"1463","ESSFdk1/Rt07","+","Aspen – Juniper – Rocktripe","Rt","talus"
"1464","ESSFdk1/Rt07.1","+","Aspen – Juniper – Rocktripe; Aspen variation","Rt","talus"
"1465","ESSFdk1/Rt07.2","+","Juniper – Rocktripe","Rt","talus"
"1466","ESSFdk1/Rt20","+","Spotted saxifrage – Clad lichen","Rt","talus"
"1467","ESSFdk1/Rt21","+","La – Pink mountain-heath – Heron's-bill","Rt","talus"
"1468","ESSFdk1/Vh01","+","Cow parsnip – Fireweed – Nettle","Vh","avalanche herb"
"1469","ESSFdk1/Vh01.1","+","Cow parsnip – Fireweed – Nettle","Vh","avalanche herb"
"1470","ESSFdk1/Vh01.2","+","Cow parsnip – Fireweed – Bluejoint","Vh","avalanche herb"
"1471","ESSFdk1/Vh02","+","Valerian – Hellebore – Fireweed","Vh","avalanche herb"
"1472","ESSFdk1/Vh02.1","+","Valerian – Hellebore – Fireweed","Vh","avalanche herb"
"1473","ESSFdk1/Vh02.2","+","Valerian – Showy sedge – Fireweed","Vh","avalanche herb"
"1474","ESSFdk1/Vh10","+","Fireweed – Grouseberry","Vh","avalanche herb"
"1475","ESSFdk1/Vh11","+","Fireweed – Yarrow – Strawberry","Vh","avalanche herb"
"1476","ESSFdk1/Vh12","+","Idaho fescue – Sulphur buckwheat – Fireweed","Vh","avalanche herb"
"1477","ESSFdk1/Vs02","+","Sitka alder – Solomon's-seal","Vs","avalanche shrub"
"1478","ESSFdk1/Vs03","+","Sitka alder – Hellebore","Vs","avalanche shrub"
"1479","ESSFdk1/Vs10","+","Willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1480","ESSFdk1/Vs10.1","+","Sitka willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1481","ESSFdk1/Vs10.2","+","Barclay's willow – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1482","ESSFdk1/Vs11","+","Thimbleberry – Cow parsnip – Fireweed","Vs","avalanche shrub"
"1483","ESSFdk1/Vs12","+","Huckleberry – Rhododendron – Fireweed","Vs","avalanche shrub"
"1484","ESSFdk1/Vs13","+","Huckleberry – Bear-grass – Fireweed","Vs","avalanche shrub"
"1485","ESSFdk1/Wb15","+","Sxw – Labrador tea – Peat moss","Wb","wetland bog "
"1486","ESSFdk1/Wb16","+","Sxw – Trapper's tea – Peat moss","Wb","wetland bog "
"1487","ESSFdk1/Wf01","+","Water sedge – Beaked sedge","Wf","wetland fen"
"1488","ESSFdk1/Wf02","+","Scrub birch – Water sedge","Wf","wetland fen"
"1489","ESSFdk1/Wf03","+","Water sedge – Peat moss","Wf","wetland fen"
"1490","ESSFdk1/Wf04","+","Barclay's willow – Water sedge – Glow moss","Wf","wetland fen"
"1491","ESSFdk1/Wf11","+","Tufted clubrush – Star moss","Wf","wetland fen"
"1492","ESSFdk1/Wf12","+","Narrow-leaved cotton-grass – Marsh-marigold","Wf","wetland fen"
"1493","ESSFdk1/Wf13","+","Narrow-leaved cotton-grass – Shore sedge","Wf","wetland fen"
"1494","ESSFdk1/Wm01","+","Beaked sedge – Water sedge","Wm","wetland marsh"
"1495","ESSFdk1/Wm16","+","Bluejoint – Arrow-leaved groundsel","Wm","wetland marsh"
"1496","ESSFdk1/Ws03","+","Bebb's willow – Bluejoint","Ws","wetland swamp"
"1497","ESSFdk1/Ws08","+","Bl – Valerian – Horsetail","Ws","wetland swamp"
"1498","ESSFdk1/Ws13","+","Barclay's willow – Common horsetail – Arrow-leaved groundsel","Ws","wetland swamp"
"1499","ESSFdk2/101","+","BlSe – Azalea – Feather moss",NA,NA
"1500","ESSFdk2/102","+","PlFd – Juniper – Douglas' maple",NA,NA
"1501","ESSFdk2/104","+","BlPl – Azalea – Grouseberry",NA,NA
"1502","ESSFdk2/110","+","BlSe – Azalea – Oak fern",NA,NA
"1503","ESSFdk2/111","+","BlSe – Azalea – Foamflower",NA,NA
"1504","ESSFdk2/112","+","SeBl – Horsetail – Feather moss",NA,NA
"1505","ESSFdk2/112a","+","SeBl – Horsetail – Feather moss; Riparian phase",NA,NA
"1506","ESSFdk2/112b","+","SeBl – Horsetail – Feather moss; Swamp phase",NA,NA
"1507","ESSFdk2/Fl01","+","Mountain alder – Common horsetail","Fl","low fluvial bench"
"1508","ESSFdk2/Fl05","+","Drummond's willow – Bluejoint","Fl","low fluvial bench"
"1509","ESSFdk2/Gb20","+","Saskatoon – Soopolallie – Juniper","Gb","brushland"
"1510","ESSFdk2/Ro06","+","Juniper – Stonecrop – Sandwort","Ro","rocky outcrop"
"1511","ESSFdk2/Ro07","+","Juniper – Soopolallie – Shrubby cinquefoil","Ro","rocky outcrop"
"1512","ESSFdk2/Ro10","+","Huckleberry – Rock moss – Haircap moss","Ro","rocky outcrop"
"1513","ESSFdk2/Ro11","+","Grouseberry – Clad lichen","Ro","rocky outcrop"
"1514","ESSFdk2/Rt01","+","Rocktripe – Green map","Rt","talus"
"1515","ESSFdk2/Rt07","+","Aspen – Juniper – Rocktripe","Rt","talus"
"1516","ESSFdk2/Rt07.1","+","Aspen – Juniper – Rocktripe; Aspen variation","Rt","talus"
"1517","ESSFdk2/Rt07.2","+","Juniper – Rocktripe","Rt","talus"
"1518","ESSFdk2/Rt20","+","Spotted saxifrage – Clad lichen","Rt","talus"
"1519","ESSFdk2/Rt21","+","La – Pink mountain-heath – Heron's-bill","Rt","talus"
"1520","ESSFdk2/Vh01","+","Cow parsnip – Fireweed – Nettle","Vh","avalanche herb"
"1521","ESSFdk2/Vh01.1","+","Cow parsnip – Fireweed – Nettle","Vh","avalanche herb"
"1522","ESSFdk2/Vh01.2","+","Cow parsnip – Fireweed – Bluejoint","Vh","avalanche herb"
"1523","ESSFdk2/Vh02","+","Valerian – Hellebore – Fireweed","Vh","avalanche herb"
"1524","ESSFdk2/Vh02.1","+","Valerian – Hellebore – Fireweed","Vh","avalanche herb"
"1525","ESSFdk2/Vh02.2","+","Valerian – Showy sedge – Fireweed","Vh","avalanche herb"
"1526","ESSFdk2/Vh10","+","Fireweed – Grouseberry","Vh","avalanche herb"
