"","SS_NoSpace","chng_type","SiteSeriesLongName","SpecialCode","Special"
"210","CWHmm1/Fm50.2","+","ActDr – Salmonberry; Devil's club variation","Fm","mid fluvial bench"
"211","CWHmm1/Wb51","+","Plc – Crowberry – Peat mosses","",""
"212","CWHmm1/Wb55","+","Plc – Labrador tea – Peat mosses","",""
"213","CWHmm1/Wb55.1","+","Plc – Labrador tea – Peat mosses; Typic variation","",""
"214","CWHmm1/Ws54.1","+","CwHw – Azalea – Skunk cabbage; Typic variation","",""
"215","CWHmm1/Ws54.1","-","CwHw – Azalea – Skunk cabbage","",""
"216","CWHmm1/Ws56","+","SsHw – Skunk cabbage","",""
"217","CWHmm1/Ws56.1","+","SsHw – Skunk cabbage; CwHw variation","",""
"218","CWHmm2/101a","+","HwBa – Blueberry – Pipecleaner moss; Typic phase","",""
"219","CWHmm2/101a","-","HwBa – Blueberry – Pipecleaner moss","",""
"220","CWHmm2/101b","+","HwBa – Blueberry – Pipecleaner moss; Poor phase","",""
"221","CWHmm2/101b","-","HwBa – Blueberry – Pipecleaner moss","",""
"222","CWHmm2/Wb51","+","Plc – Crowberry – Peat mosses","",""
"223","CWHmm2/Wb57","+","PlcYc – Deer cabbage – Peat mosses","",""
"224","CWHmm2/Ws55","+","YcHm – Skunk cabbage","",""
"225","CWHmm2/Ws58.1","+","CwHw – Slough sedge; Typic variation","",""
"226","CWHmm2/Ws58.1","-","CwHw – Slough sedge","",""
"227","CWHms3/Fl51","-","Dr – Salmonberry – Horsetail","Fl","Fl"
"228","CWHms3/Fm50","+","ActDr – Salmonberry","Fm","mid fluvial bench"
"229","CWHms3/Fm50","-","ActDr – Salmonberry","Fm","Fm"
"230","CWHms3/Fm50.1","+","ActDr – Salmonberry; Salmonberry variation","Fm","mid fluvial bench"
"231","CWHms3/Wb51","+","Plc – Crowberry – Peat mosses","",""
"232","CWHms3/Ws56.1","+","SsHw – Skunk cabbage; CwHw variation","",""
"233","CWHms3/Ws56.1","-","SsHw – Skunk cabbage","",""
"234","CWHms4/Wb51","+","Plc – Crowberry – Peat mosses","",""
"235","CWHms5/101.1","+","HwBa – Blueberry – Queen's cup; Typic variation","",""
"236","CWHms5/101.1","-","HwBa – Blueberry – Queen's cup","",""
"237","CWHms5/101.2","+","HwBa – Blueberry – Queen's cup; Fd variation","",""
"238","CWHms5/101.2","-","HwBa – Blueberry – Queen's cup","",""
"239","CWHms5/103.1","+","HwFdc – Huckleberry – Falsebox; Typic variation","",""
"240","CWHms5/103.1","-","HwFdc – Huckleberry – Falsebox","",""
"241","CWHms5/103.2","+","HwFdc – Huckleberry – Falsebox; Rhododendron variation","",""
"242","CWHms5/103.2","-","HwFdc – Huckleberry – Falsebox","",""
"243","CWHms5/Fl51","-","Dr – Salmonberry – Horsetail","Fl","Fl"
"244","CWHms5/Fm50","+","ActDr – Salmonberry","Fm","mid fluvial bench"
"245","CWHms5/Fm50","-","ActDr – Salmonberry","Fm","Fm"
"246","CWHms5/Fm50.1","+","ActDr – Salmonberry; Salmonberry variation","Fm","mid fluvial bench"
"247","CWHms5/Fm50.2","+","ActDr – Salmonberry; Devil's club variation","Fm","mid fluvial bench"
"248","CWHms5/Wb51","+","Plc – Crowberry – Peat mosses","",""
"249","CWHms5/Ws56.1","+","SsHw – Skunk cabbage; CwHw variation","",""
"250","CWHms5/Ws56.1","-","SsHw – Skunk cabbage","",""
"251","CWHvh1/120.1","+","Ss – Salal – Beaked mosses; Salal variation","SS","salt spray"
"252","CWHvh1/120.1","-","Ss – Salal – Beaked mosses","SS","salt spray"
"253","CWHvh1/120.2","+","Ss – Salal – Beaked mosses; Reedgrass variation","SS","salt spray"
"254","CWHvh1/120.2","-","Ss – Salal – Beaked mosses","SS","salt spray"
"255","CWHvh1/Fl51","-","Dr – Salmonberry – Horsetail","Fl","Fl"
