Source,Zone,SubzoneGroup,Subzone,BGC,BGCName,ZoneName,SubzoneName,VariantName,General Location,OldSubzoneLabel,DataSet,State,Notes
USA_2019,BG,BG,BGdw,BGdw_OR,Oregon Dry Warm BG,Bunchgrass,Dry Warm,Oregon,NE Oregon,,USA,OR,
USA_2019,BG,BG,BGmw,BGmw_OR,Oregon Moist Warm BG,Bunchgrass,Moist Warm,Oregon,NE Oregon,,USA,OR,
USA_2019,IGF,IGF_meso,IGFmh,IGFmh_OR,Oregon Moist Hot IGF,Interior Grand Fir,Moist Hot,Oregon,NE Oregon,,USA,OR,
USA_2019,IGF,IGF_dry,IGFxm,IGFxm_OR,Oregon Very Dry Mild IGF,Interior Grand Fir,Very Dry Mild,Oregon,NE Oregon & SE Washington & E Idaho,,USA,OR,
USA_2019,JPW,JPW,JPWxh,JPWxh_CA,California Very Dry Hot JPW,Juniper – Pine Woodland,Very Dry Hot,California,S California,,USA,CA,
USA_2023,CWF,CWF,CWFdm_OR,CWFdm_OR,Dry Maritime CWF,Coastal White Fir,Dry Maritime,,S Oregon & N California ,,USA,OR,
USA_2019,PP,PP,PPxw,PPxw_WY,Wyoming Very Dry Warm PP,Ponderosa Pine,Very Dry Warm,Wyoming,S Wyoming,,USA,WY,
USA_2019,IDF,IDF_cool,IDFdkx,IDFdkx_MT,Montana Dry Cool/Mild IDF,Interior Douglas-fir,Dry Cool/Mild,Montana,SC Montana & S Idaho & NW Wyoming,,USA,MT,
USA_2023,OW,OW,OWmm_OR,OWmm_OR,Oregon Moist Maritime OW,Oak Woodland,Moist Maritime,Oregon,SW Oregon,,USA,OR,
USA_2023,OW,OW,OWdm_OR,OWdm_OR,Oregon Dry Maritime OW,Oak Woodland,Dry Maritime,Oregon,SW Oregon & N California,,USA,OR,
USA_2023,CMX,CMX,CMXmm_OR,CMXmm_OR,Oregon Moist Maritime CMX,Coastal Mixed Evergreen,Moist Maritime,Oregon,SW Oregon & NW California,,USA,OR,
USA_2019,MS,MS_meso,MSdh,MSdh_MT,Montana Dry Hot MS,Montane Spruce,Dry Hot,Montana,W Montana,,USA,MT,
USA_2023,CWH,CWH_dry/continental,CWHdm_OC,CWHdm_OC,Oregon Coast Dry Maritime Coast CWH,Coastal Western Hemlock,Dry Maritime Coast,Oregon Coast,W Oregon,,USA,OR,
USA_2023,CWH,CWH_dry/continental,CWHdm_WC,CWHdm_WC,Washington Coast Dry Maritime Coast CWH,Coastal Western Hemlock,Dry Maritime Coast,Washington Coast,W Washington & NW Oregon,,USA,WA,
USA_2019,ESSF,ESSF_dry,ESSFxx,ESSFxx_WY,Wyoming Very Dry Very Hot ESSF,Engelmann Spruce – Subalpine Fir,Very Dry Very Hot,Wyoming,W Wyoming,,USA,WY,
USA_2019,ESSF,ESSF_dry,ESSFxk,ESSFxk_WY,Wyoming Very Dry Cool ESSF,Engelmann Spruce – Subalpine Fir,Very Dry Cool,Wyoming,W Wyoming & SW Montana & S Idaho,,USA,WY,
USA_2019,BG,BG,BGmm,BGmm_MT,Montana Moist Mild BG,Bunchgrass,Moist Mild,Montana,Wyoming & S Montana,,USA,MT,
USA_2019,IDF,IDF,IDFdxx,IDFdxx_WY,Wyoming Dry Very Hot IDF,Interior Douglas-fir,Dry Very Hot,Wyoming,Wyoming & SC Montana,,USA,WY,
BGCv11,ICH,ICH_meso,ICHmw,ICHmw5,Granby Moist Warm ICH,Interior Cedar  –  Hemlock,Moist Warm,Granby,,,BC,BC,
BGCv11,ICH,ICH_wet,ICHvc,ICHvc,Very Wet Cold ICH,Interior Cedar  –  Hemlock,Very Wet Cold,,,,BC,BC,
BGCv11,ICH,ICH_wet,ICHvk,ICHvk1,Columbia Very Wet Cool ICH,Interior Cedar  –  Hemlock,Very Wet Cool,Columbia,,,BC,BC,
BGCv11,ICH,ICH_wet,ICHvk,ICHvk2,Slim Very Wet Cool ICH,Interior Cedar  –  Hemlock,Very Wet Cool,Slim,,,BC,BC,
BGCv11,ICH,ICH_wet,ICHwc,ICHwc,Wet Cold ICH,Interior Cedar  –  Hemlock,Wet Cold,,,,BC,BC,
BGCv11,ICH,ICH_wet,ICHwk,ICHwk1,Shuswap Wet Cool ICH,Interior Cedar  –  Hemlock,Wet Cool,Shuswap,,,BC,BC,
BGCv11,ICH,ICH_wet,ICHwk,ICHwk2,Quesnel Wet Cool ICH,Interior Cedar  –  Hemlock,Wet Cool,Quesnel,,,BC,BC,
BGCv11,ICH,ICH_wet,ICHwk,ICHwk3,Goat Wet Cool ICH,Interior Cedar  –  Hemlock,Wet Cool,Goat,,,BC,BC,
BGCv11,ICH,ICH_wet,ICHwk,ICHwk4,Cariboo Wet Cool ICH,Interior Cedar  –  Hemlock,Wet Cool,Cariboo,,,BC,BC,
BGCv11,ICH,ICH_dry,ICHxw,ICHxw,Very Dry Warm ICH,Interior Cedar  –  Hemlock,Very Dry Warm,,,,BC,BC,
BGCv11,ICH,ICH_dry,ICHxwa,ICHxwa,Very Dry Warm ICH,Interior Cedar  –  Hemlock,Very Dry Warm,,,,BC,BC,
BGCv11,IDF,IDF_cool,IDFdc,IDFdc,Dry Cold IDF,Interior Douglas-fir,Dry Cold,,,,BC,BC,
BGCv11,IDF,IDF_cool,IDFdk,IDFdk1,Thompson Dry Cool IDF,Interior Douglas-fir,Dry Cool,Thompson,,,BC,BC,
BGCv11,IDF,IDF_cool,IDFdk,IDFdk2,Cascade Dry Cool IDF,Interior Douglas-fir,Dry Cool,Cascade,,,BC,BC,
BGCv11,IDF,IDF_cool,IDFdk,IDFdk3,Fraser Dry Cool IDF,Interior Douglas-fir,Dry Cool,Fraser,,,BC,BC,
BGCv11,IDF,IDF_cool,IDFdk,IDFdk4,Chilcotin Dry Cool IDF,Interior Douglas-fir,Dry Cool,Chilcotin,,,BC,BC,
BGCv11,IDF,IDF_cool,IDFdk,IDFdk5,Columbia Dry Cool IDF,Interior Douglas-fir,Dry Cool,Columbia,,,BC,BC,
BGCv11,ESSF,ESSF_meso,ESSFmvp,ESSFmvp,Moist Very Cold Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Very Cold Parkland,,,,BC,BC,
BGCv11,ESSF,ESSF_meso,ESSFmw,ESSFmw,Moist Warm ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Warm,,,,BC,BC,
BGCv11,ESSF,ESSF_meso,ESSFmw,ESSFmw1,Cascade Moist Warm ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Warm,Cascade,,,BC,BC,
BGCv11,ESSF,ESSF_meso,ESSFmw,ESSFmw2,Stein Moist Warm ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Warm,Stein,,,BC,BC,
BGCv11,ESSF,ESSF_meso,ESSFmwp,ESSFmwp,Moist Warm Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Warm Parkland,,,,BC,BC,
BGCv11,ESSF,ESSF_meso,ESSFmww,ESSFmww,Moist Warm Woodland ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Warm Woodland,,,,BC,BC,
BGCv11,ESSF,ESSF_meso,ESSFun,ESSFun,Undifferentiated ESSF,Engelmann Spruce  –  Subalpine Fir,Undifferentiated,,,,BC,BC,
BGCv11,ESSF,ESSF_meso,ESSFunp,ESSFunp,Undifferentiated Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Undifferentiated Parkland,,,,BC,BC,
BGCv11,ESSF,ESSF_wet,ESSFvc,ESSFvc,Very Wet Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Very Wet Cold,,,,BC,BC,
BGCv11,ESSF,ESSF_wet,ESSFvcp,ESSFvcp,Very Wet Cold Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Very Wet Cold Parkland,,,,BC,BC,
BGCv11,ESSF,ESSF_wet,ESSFvcw,ESSFvcw,Very Wet Cold Woodland ESSF,Engelmann Spruce  –  Subalpine Fir,Very Wet Cold Woodland,,,,BC,BC,
BGCv11,ESSF,ESSF_wet,ESSFwc,ESSFwc2,Monashee Wet Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Cold,Monashee,,,BC,BC,
BGCv11,ESSF,ESSF_wet,ESSFwc,ESSFwc3,Cariboo Wet Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Cold,Cariboo,,,BC,BC,
BGCv11,ESSF,ESSF_wet,ESSFwc,ESSFwc4,Selkirk Wet Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Cold,Selkirk,,,BC,BC,
BGCv11,ESSF,ESSF_wet,ESSFwcp,ESSFwcp,Wet Cold Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Cold Parkland,,,,BC,BC,
BGCv11,ESSF,ESSF_wet,ESSFwcw,ESSFwcw,Wet Cold Woodland ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Cold Woodland,,,,BC,BC,
BGCv11,ESSF,ESSF_wet,ESSFwh,ESSFwh1,Columbia Wet Hot ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Hot,Columbia,,,BC,BC,
BGCv11,ESSF,ESSF_wet,ESSFwh,ESSFwh2,St Mary Wet Hot ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Hot,St Mary,,,BC,BC,
BGCv11,ESSF,ESSF_wet,ESSFwh,ESSFwh3,Salmo Wet Hot ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Hot,Salmo,,,BC,BC,
BGCv11,ESSF,ESSF_wet,ESSFwk,ESSFwk1,Cariboo Wet Cool ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Cool,Cariboo,,,BC,BC,
BGCv11,ESSF,ESSF_wet,ESSFwk,ESSFwk2,Misinchinka Wet Cool ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Cool,Misinchinka,,,BC,BC,
BGCv11,ESSF,ESSF_wet,ESSFwm,ESSFwm1,Fernie Wet Mild ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Mild,Fernie,,,BC,BC,
BGCv11,ESSF,ESSF_wet,ESSFwm,ESSFwm2,Purcell Wet Mild ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Mild,Purcell,,,BC,BC,
BGCv11,ESSF,ESSF_wet,ESSFwm,ESSFwm3,Ymir Wet Mild ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Mild,Ymir,,,BC,BC,
BGCv11,ESSF,ESSF_wet,ESSFwm,ESSFwm4,Moyie Wet Mild ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Mild,Moyie,,,BC,BC,
BGCv11,ESSF,ESSF_wet,ESSFwmp,ESSFwmp,Wet Mild Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Mild Parkland,,,,BC,BC,
BGCv11,ESSF,ESSF_wet,ESSFwmw,ESSFwmw,Wet Mild Woodland ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Mild Woodland,,,,BC,BC,
BGCv11,ESSF,ESSF_wet,ESSFwv,ESSFwv,Wet Very Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Very Cold,,,,BC,BC,
BGCv11,ESSF,ESSF_wet,ESSFwvp,ESSFwvp,Wet Very Cold Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Wet Very Cold Parkland,,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFxc,ESSFxc1,Similkameen Very Dry Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Very Dry Cold,Similkameen,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFxc,ESSFxc2,Thompson Very Dry Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Very Dry Cold,Thompson,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFxc,ESSFxc3,Pavillion Very Dry Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Very Dry Cold,Pavillion,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFxcp,ESSFxcp,Very Dry Cold Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Very Dry Cold Parkland,,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFxcw,ESSFxcw,Very Dry Cold Woodland ESSF,Engelmann Spruce  –  Subalpine Fir,Very Dry Cold Woodland,,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFxv,ESSFxv1,West Chilcotin Very Dry Very Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Very Dry Very Cold,West Chilcotin,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFxv,ESSFxv2,Big Creek Very Dry Very Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Very Dry Very Cold,Big Creek,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFxvp,ESSFxvp,Very Dry Very Cold Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Very Dry Very Cold Parkland,,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFxvw,ESSFxvw,Very Dry Very Cold Woodland ESSF,Engelmann Spruce  –  Subalpine Fir,Very Dry Very Cold Woodland,,,,BC,BC,
BGCv11,ICH,ICH_dry,ICHdk,ICHdk,Dry Cool ICH,Interior Cedar  –  Hemlock,Dry Cool,,,,BC,BC,
BGCv11,ICH,ICH_dry,ICHdm,ICHdm,Dry Mild ICH,Interior Cedar  –  Hemlock,Dry Mild,,,,BC,BC,
BGCv11,ICH,ICH_dry,ICHdw,ICHdw1,West Kootenay Dry Warm ICH,Interior Cedar  –  Hemlock,Dry Warm,West Kootenay,,,BC,BC,
BGCv11,ICH,ICH_dry,ICHdw,ICHdw3,North Thompson Dry Warm ICH,Interior Cedar  –  Hemlock,Dry Warm,North Thompson,,,BC,BC,
BGCv11,ICH,ICH_dry,ICHdw,ICHdw4,Shuswap Dry Warm ICH,Interior Cedar  –  Hemlock,Dry Warm,Shuswap,,,BC,BC,
BGCv11,ICH,ICH_meso,ICHmc,ICHmc1,Nass Moist Cold ICH,Interior Cedar  –  Hemlock,Moist Cold,Nass,,,BC,BC,
BGCv11,ICH,ICH_meso,ICHmca,ICHmc1a,Nass Moist Cold ICH,Interior Cedar  –  Hemlock,Moist Cold,Nass,,,BC,BC,
BGCv11,ICH,ICH_meso,ICHmc,ICHmc2,Hazelton Moist Cold ICH,Interior Cedar  –  Hemlock,Moist Cold,Hazelton,,,BC,BC,
BGCv11,ICH,ICH_meso,ICHmk,ICHmk1,Okanagan Moist Cool ICH,Interior Cedar  –  Hemlock,Moist Cool,Okanagan,,,BC,BC,
BGCv11,ICH,ICH_meso,ICHmk,ICHmk2,Thompson Moist Cool ICH,Interior Cedar  –  Hemlock,Moist Cool,Thompson,,,BC,BC,
BGCv11,ICH,ICH_meso,ICHmk,ICHmk3,Horsefly Moist Cool ICH,Interior Cedar  –  Hemlock,Moist Cool,Horsefly,,,BC,BC,
BGCv11,ICH,ICH_meso,ICHmk,ICHmk4,Kootenay Moist Cool ICH,Interior Cedar  –  Hemlock,Moist Cool,Kootenay,,,BC,BC,
BGCv11,ICH,ICH_meso,ICHmk,ICHmk5,Kootenay Moist Cool ICH,Interior Cedar  –  Hemlock,Moist Cool,Kootenay,,,BC,BC,
BGCv11,ICH,ICH_meso,ICHmm,ICHmm,Moist Mild ICH,Interior Cedar  –  Hemlock,Moist Mild,,,,BC,BC,
BGCv11,ICH,ICH_meso,ICHmw,ICHmw1,Kinbasket Moist Warm ICH,Interior Cedar  –  Hemlock,Moist Warm,Kinbasket,,,BC,BC,
BGCv11,ICH,ICH_meso,ICHmw,ICHmw2,Shuswap Moist Warm ICH,Interior Cedar  –  Hemlock,Moist Warm,Shuswap,,,BC,BC,
BGCv11,ICH,ICH_meso,ICHmw,ICHmw3,Thompson Moist Warm ICH,Interior Cedar  –  Hemlock,Moist Warm,Thompson,,,BC,BC,
BGCv11,ICH,ICH_meso,ICHmw,ICHmw4,Ymir Moist Warm ICH,Interior Cedar  –  Hemlock,Moist Warm,Ymir,,,BC,BC,
BGCv11,IDF,IDF_meso,IDFdm,IDFdm1,Kettle Dry Mild IDF,Interior Douglas-fir,Dry Mild,Kettle,,,BC,BC,
BGCv11,IDF,IDF_meso,IDFdm,IDFdm2,Kootenay Dry Mild IDF,Interior Douglas-fir,Dry Mild,Kootenay,,,BC,BC,
BGCv11,IDF,IDF,IDFdw,IDFdw,Dry Warm IDF,Interior Douglas-fir,Dry Warm,,,,BC,BC,
BGCv11,IDF,ICH_dry,IDFmw,IDFmw2,Thompson Moist Warm IDF,Interior Douglas-fir,Moist Warm,Thompson,,,BC,BC,
BGCv11,IDF,IDF_meso,IDFww,IDFww,Wet Warm IDF,Interior Douglas-fir,Wet Warm,,,,BC,BC,
BGCv11,IDF,IDF_hot,IDFxc,IDFxc,Very Dry Cold IDF,Interior Douglas-fir,Very Dry Cold,,,,BC,BC,
BGCv11,IDF,IDF_hot,IDFxh,IDFxh1,Okanagan Very Dry Hot IDF,Interior Douglas-fir,Very Dry Hot,Okanagan,,,BC,BC,
BGCv11,IDF,IDF_hot,IDFxh,IDFxh2,Thompson Very Dry Hot IDF,Interior Douglas-fir,Very Dry Hot,Thompson,,,BC,BC,
BGCv11,IDF,IDF_hot,IDFxk,IDFxk,Very Dry Cool IDF,Interior Douglas-fir,Very Dry Cool,,,,BC,BC,
BGCv11,IDF,IDF_hot,IDFxm,IDFxm,Very Dry Mild IDF,Interior Douglas-fir,Very Dry Mild,,,,BC,BC,
BGCv11,IDF,IDF_hot,IDFxx,IDFxx2,Kootenay Very Dry Very Hot  IDF,Interior Douglas-fir,Very Dry Very Hot ,Kootenay,,,BC,BC,
BGCv11,IMA,IMA,IMAun,IMAun,Undifferentiated IMA,Interior Mountain-heather Alpine,Undifferentiated,,,,BC,BC,
BGCv11,IMA,IMA,IMAunp,IMAunp,Undifferentiated and Parkland IMA,Interior Mountain-heather Alpine,Undifferentiated and Parkland,,,,BC,BC,
BGCv11,MH,MH_maritime,MHmm,MHmm1,Windward Moist Maritime MH,Mountain Hemlock,Moist Maritime,Windward,,,BC,BC,
BGCv11,MH,MH_submaritme,MHmm,MHmm2,Leeward Moist Maritime MH,Mountain Hemlock,Moist Maritime,Leeward,,,BC,BC,
BGCv11,MH,MH_maritime,MHmmp,MHmmp,Moist Maritime Parkland MH,Mountain Hemlock,Moist Maritime Parkland,,,,BC,BC,
BGCv11,MH,MH_submaritme,MHun,MHun,Undifferentiated MH,Mountain Hemlock,Undifferentiated,,,,BC,BC,
BGCv11,MH,MH_submaritme,MHunp,MHunp,Undifferentiated Parkland MH,Mountain Hemlock,Undifferentiated Parkland,,,,BC,BC,
BGCv11,MH,MH_maritime,MHwh,MHwh,Wet Hypermaritime MH,Mountain Hemlock,Wet Hypermaritime,,,,BC,BC,
BGCv11,MH,MH_maritime,MHwhp,MHwhp,Wet Hypermaritime Parkland MH,Mountain Hemlock,Wet Hypermaritime Parkland,,,,BC,BC,
BGCv11,MS,MS_meso,MSdc,MSdc1,Cayoosh Dry Cold MS,Montane Spruce,Dry Cold,Cayoosh,,,BC,BC,
BGCv11,MS,MS_meso,MSdc,MSdc2,Tatlayoko Dry Cold MS,Montane Spruce,Dry Cold,Tatlayoko,,,BC,BC,
BGCv11,MS,MS_meso,MSdc,MSdc3,Tyaughton Dry Cold MS,Montane Spruce,Dry Cold,Tyaughton,,,BC,BC,
BGCv11,MS,MS_meso,MSdk,MSdk,Dry Cool MS,Montane Spruce,Dry Cool,,,,BC,BC,
BGCv11,MS,MS_meso,MSdm,MSdm1,Okanagan Dry Mild MS,Montane Spruce,Dry Mild,Okanagan,,,BC,BC,
BGCv11,MS,MS_meso,MSdm,MSdm2,Cascade Dry Mild MS,Montane Spruce,Dry Mild,Cascade,,,BC,BC,
BGCv11,MS,MS_meso,MSdm,MSdm3,North Thompson Dry Mild MS,Montane Spruce,Dry Mild,North Thompson,,,BC,BC,
BGCv11,MS,MS_meso,MSdv,MSdv,Dry Very Cold MS,Montane Spruce,Dry Very Cold,,,,BC,BC,
BGCv11,BAFA,BAFA,BAFAun,BAFAun,Undifferentiated BAFA,Boreal Altai Fescue Alpine,Undifferentiated,,,,BC,BC,
BGCv11,BAFA,BAFA,BAFAunp,BAFAunp,Undifferentiated and Parkland BAFA,Boreal Altai Fescue Alpine,Undifferentiated and Parkland,,,,BC,BC,
BGCv11,BG,BG,BGxh,BGxh1,Okanagan Very Dry Hot BG,Bunchgrass,Very Dry Hot,Okanagan,,,BC,BC,
BGCv11,BG,BG,BGxh,BGxh2,Thompson Very Dry Hot BG,Bunchgrass,Very Dry Hot,Thompson,,,BC,BC,
BGCv11,BG,BG,BGxh,BGxh3,Fraser Very Dry Hot BG,Bunchgrass,Very Dry Hot,Fraser,,,BC,BC,
BGCv11,BG,BG,BGxw,BGxw1,Nicola Very Dry Warm BG,Bunchgrass,Very Dry Warm,Nicola,,,BC,BC,
BGCv11,BG,BG,BGxw,BGxw2,Alkali Very Dry Warm BG,Bunchgrass,Very Dry Warm,Alkali,,,BC,BC,
BGCv11,BWBS,BWBS_meso,BWBSdk,BWBSdk,Dry Cool BWBS,Boreal White and Black Spruce,Dry Cool,,,,BC,BC,
BGCv11,BWBS,BWBS_meso,BWBSmk,BWBSmk,Moist Cool BWBS,Boreal White and Black Spruce,Moist Cool,,,,BC,BC,
BGCv11,BWBS,BWBS_warm,BWBSmw,BWBSmw,Moist Warm BWBS,Boreal White and Black Spruce,Moist Warm,,,,BC,BC,
BGCv11,BWBS,BWBS_cold,BWBSvk,BWBSvk,Very Wet Cool BWBS,Boreal White and Black Spruce,Very Wet Cool,,,,BC,BC,
BGCv11,BWBS,BWBS_cold,BWBSwk,BWBSwk1,Murray Wet Cool BWBS,Boreal White and Black Spruce,Wet Cool,Murray,,,BC,BC,
BGCv11,BWBS,BWBS_cold,BWBSwk,BWBSwk2,Graham Wet Cool BWBS,Boreal White and Black Spruce,Wet Cool,Graham,,,BC,BC,
BGCv11,BWBS,BWBS_cold,BWBSwk,BWBSwk3,Kledo Wet Cool BWBS,Boreal White and Black Spruce,Wet Cool,Kledo,,,BC,BC,
BGCv11,CDF,CDF,CDFmm,CDFmm,Moist Maritime CDF,Coastal Douglas-fir,Moist Maritime,,,,BC,BC,
BGCv11,CMA,CMA,CMAun,CMAun,Undifferentiated CMA,Coastal Mountain-heather Alpine,Undifferentiated,,,,BC,BC,
BGCv11,CMA,CMA,CMAunp,CMAunp,Undifferentiated and Parkland CMA,Coastal Mountain-heather Alpine,Undifferentiated and Parkland,,,,BC,BC,
BGCv11,CMA,CMA,CMAwh,CMAwh,Wet Hypermaritime CMA,Coastal Mountain-heather Alpine,Wet Hypermaritime,,,,BC,BC,
BGCv11,CWH,CWH_hypermaritime,CWHvh,CWHvh3,Haida Gwaii Very Wet Hypermaritime CWH,Coastal Western Hemlock,Very Wet Hypermaritime,Haida Gwaii,,,BC,BC,
BGCv11,CWH,CWH_meso,CWHwh,CWHwh1,Submontane Wet Hypermaritime CWH,Coastal Western Hemlock,Wet Hypermaritime,Submontane,,,BC,BC,
BGCv11,CWH,CWH_hypermaritime,CWHwh,CWHwh2,Montane Wet Hypermaritime CWH,Coastal Western Hemlock,Wet Hypermaritime,Montane,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFdc,ESSFdc1,Okanagan Dry Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Cold,Okanagan,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFdc,ESSFdc2,Cascade Dry Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Cold,Cascade,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFdc,ESSFdc3,North Thompson Dry Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Cold,North Thompson,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFdcp,ESSFdcp,Dry Cold Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Cold Parkland,,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFdcw,ESSFdcw,Dry Cold Woodland ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Cold Woodland,,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFdk,ESSFdk1,Elk Dry Cool ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Cool,Elk,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFdk,ESSFdk2,Columbia Dry Cool ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Cool,Columbia,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFdkp,ESSFdkp,Dry Cool Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Cool Parkland,,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFdkw,ESSFdkw,Dry Cool Woodland ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Cool Woodland,,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFdv,ESSFdv1,Cayoosh Dry Very Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Very Cold,Cayoosh,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFdv,ESSFdv2,Tyaughton Dry Very Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Very Cold,Tyaughton,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFdvp,ESSFdvp,Dry Very Cold Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Very Cold Parkland,,,,BC,BC,
BGCv11,ESSF,ESSF_dry,ESSFdvw,ESSFdvw,Dry Very Cold Woodland ESSF,Engelmann Spruce  –  Subalpine Fir,Dry Very Cold Woodland,,,,BC,BC,
BGCv11,ESSF,ESSF_meso,ESSFmc,ESSFmc,Moist Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Cold,,,,BC,BC,
BGCv11,ESSF,ESSF_meso,ESSFmcp,ESSFmcp,Moist Cold Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Cold Parkland,,,,BC,BC,
BGCv11,ESSF,ESSF_meso,ESSFmh,ESSFmh,Moist Hot ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Hot,,,,BC,BC,
BGCv11,ESSF,ESSF_meso,ESSFmk,ESSFmk,Moist Cool ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Cool,,,,BC,BC,
BGCv11,ESSF,ESSF_meso,ESSFmkp,ESSFmkp,Moist Cool Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Cool Parkland,,,,BC,BC,
BGCv11,ESSF,ESSF_meso,ESSFmm,ESSFmm1,Raush Moist Mild ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Mild,Raush,,,BC,BC,
BGCv11,ESSF,ESSF_meso,ESSFmm,ESSFmm2,Robson Moist Mild ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Mild,Robson,,,BC,BC,
BGCv11,ESSF,ESSF_meso,ESSFmm,ESSFmm3,Spillimacheen Moist Mild ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Mild,Spillimacheen,,,BC,BC,
BGCv11,ESSF,ESSF_meso,ESSFmmp,ESSFmmp,Moist Mild Parkland ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Mild Parkland,,,,BC,BC,
BGCv11,ESSF,ESSF_meso,ESSFmmw,ESSFmmw,Moist Mild Woodland ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Mild Woodland,,,,BC,BC,
BGCv11,ESSF,ESSF_meso,ESSFmv,ESSFmv1,Nechako Moist Very Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Very Cold,Nechako,,,BC,BC,
BGCv11,ESSF,ESSF_meso,ESSFmv,ESSFmv2,Bullmoose Moist Very Cold ESSF,Engelmann Spruce  –  Subalpine Fir,Moist Very Cold,Bullmoose,,,BC,BC,
