SS_NoSpace,SiteSeriesLongName
BGxh3/Rt04b,Saskatoon – Bluebunch wheatgrass; Warm phase
BGxh3/Wm04,Common spikerush
BGxh3/Wm05,Cattail
BGxh3/Wm06,Soft-stemmed bulrush
BGxw1/101,Bluebunch wheatgrass – Junegrass – Pussytoes
BGxw1/101$2.1,Needle-and-thread grass – Cheatgrass
BGxw1/101$3.1,Big sagebrush – Bluebunch wheatgrass – Sandberg's bluegrass
BGxw1/102,Py – Rabbit-brush – Bluebunch wheatgrass
BGxw1/110,Py(Fd) – Bluebunch wheatgrass – Rough fescue
BGxw1/111,Fd – Snowberry – Step moss
BGxw1/Ff02,Snowberry – Prairie Rose
BGxw1/Ff04,Aspen – Snowberry – Roses
BGxw1/Ff05,Aspen – Dogwood – Nootka rose
BGxw1/Fl05,Drummond's willow – Bluejoint
BGxw1/Fm01,Cottonwood – Snowberry – Rose
BGxw1/Fm05,Cottonwood – Douglas-fir – Douglas' maple – Snowberry
BGxw1/Ga01,Saltgrass
BGxw1/Ga01.1,Saltgrass
BGxw1/Ga02,Nuttall's alkaligrass – Foxtail barley
BGxw1/Ga02.1,Nuttall's alkaligrass – Foxtail barley
BGxw1/Ga02.2,Foxtail barley – Nuttall's alkaligrass
BGxw1/Ga05,Giant wildrye
BGxw1/Ga06,Seablite
BGxw1/Ga07,Red glasswort
BGxw1/Gb02,Saskatoon – Snowberry – Bluebunch wheatgrass
BGxw1/Gg01,Bluebunch wheatgrass – Prairie sagewort – Junegrass
BGxw1/Gg03,Bluebunch wheatgrass – Selaginella
BGxw1/Gg04,Bluebunch wheatgrass – Junegrass – Pussytoes
BGxw1/Gg04$2.1,Needle-and-thread grass – Cheatgrass
BGxw1/Gg04$3.1,Big sagebrush – Bluebunch wheatgrass – Sandberg's bluegrass
BGxw1/Gg10,Rough fescue – Bluebunch wheatgrass
BGxw1/Gg10$2.1,Bluebunch wheatgrass – Junegrass – Sandberg's bluegrass
BGxw1/Gg10$3.1,Big sagebrush – Bluebunch wheatgrass – Rough fescue
BGxw1/Gg12,Rough fescue – Yarrow – Three-flowered avens
