SS_NoSpace,SiteSeriesLongName,SpecialCode,Special
ESSFwk2/04,Bl – Devil's club – Rhododendron,,
ESSFwk2/05,Bl – Rhododendron – Lady fern,,
ESSFwk2/06,Bl – Horsetail – Sphagnum,,
ESSFwm1/101,Bl – Rhododendron – Azalea – Foamflower,,
ESSFwm1/102,BlFd – Douglas maple,,
ESSFwm1/103,Bl – Huckleberry – Falsebox,IN,insolation
ESSFwm1/104,Bl – Rhododendron – Azalea,CAS,cold aspects - cold air
ESSFwm1/110,BlSe – Azalea – Oak fern,,
ESSFwm1/111,Bl – Arrow-leaved groundsel – Canby's lovage,,
ESSFwm1/112,SeBl – Horsetail – Canby's lovage,,
ESSFwm1/Ws08,Bl – Sitka valerian – Common horsetail,,
ESSFwm2/101,Bl – Rhododendron – Azalea – Foamflower,,
ESSFwm2/102,BlPa – Huckleberry – Clad lichen,,
ESSFwm2/103,Bl – Azalea – Rhododendron,,
ESSFwm2/104,Bl – Rhododendron – Huckleberry – Heron's-bill,,
ESSFwm2/110,BlSe – Azalea – Oak fern,,
ESSFwm2/111,Bl – Arrow-leaved groundsel – Canby's lovage,,
ESSFwm2/112,SeBl – Horsetail – Canby's lovage,,
ESSFwm2/112a,SeBl – Horsetail – Canby's lovage; Riparian phase,Fh,high fluvial bench
ESSFwm2/112b,SeBl – Horsetail – Canby's lovage; Swamp phase,,
ESSFwm2/Ws08.1,Bl – Sitka valerian – Horsetail,,
ESSFwm2/Ws08.2,SxwBl – Horsetail – Canby's Lovage,,
ESSFwm3/101,Bl – Rhododendron – Azalea – Foamflower,,
ESSFwm3/102,Bl – Huckleberry – Bear-grass,,
ESSFwm3/103,BlSe – Rhododendron – Bear-grass,IN,insolation
ESSFwm3/104,Bl – Rhododendron – Huckleberry – Heron's-bill,CAS,cold aspects - cold air
ESSFwm3/105,BlSe – Bear-grass – Arnica,,
ESSFwm3/110,Bl – Rhododendron – Foamflower – Arnica,,
ESSFwm3/111,Bl – Arrow-leaved groundsel – Canby's lovage,,
ESSFwm3/112,SeBl – Horsetail – Canby's lovage,,
ESSFwm3/112a,SeBl – Horsetail – Canby's lovage; Riparian phase,Fh,high fluvial bench
ESSFwm3/112b,SeBl – Horsetail – Canby's lovage; Swamp phase,,
ESSFwm3/Ws08.1,Bl – Sitka valerian – Horsetail,,
ESSFwm3/Ws08.2,SxwBl – Horsetail – Canby's Lovage,,
ESSFwm4/101,Bl – Rhododendron – Azalea – Foamflower,,
ESSFwm4/102,BlPl – Low bilberry – Bear-grass,,
ESSFwm4/102a,BlPl – Low bilberry – Bear-grass; Xeric phase,,
ESSFwm4/102b,BlPl – Low bilberry – Bear-grass; Subxeric phase,,
ESSFwm4/103,Bl – Azalea – Low bilberry,,
ESSFwm4/103.1,Bl – Azalea – Low bilberry,,
ESSFwm4/103.2,Bl – Azalea – Bear-grass,,
ESSFwm4/110,BlSe – Azalea – Oak fern,,
ESSFwm4/111,Bl – Arrow-leaved groundsel – Canby's lovage,,
ESSFwm4/Ws08.2,SeBl – Horsetail – Canby's Lovage,,
ESSFwmw/101,Bl – Rhododendron – Woodrush,,
ESSFwmw/102,BlLa – Heron's-bill,,
ESSFwmw/103,Bl(La) – Huckleberry – Grouseberry,,
ESSFwmw/110,Bl – Valerian – Hellebore – Globeflower,,
ESSFwmw/Ws08.2,SeBl – Horsetail – Canby's Lovage,,
ESSFwv/01,BlHm – Azalea,,
ESSFwv/02,BlPl – Cladonia,,
ESSFwv/03,BlHm – Feathermoss,,
ESSFwv/04,BlHm – Heron's-bill,,
ESSFwv/05,Bl – Oak fern – Heron's-bill,,
ESSFwv/06,Bl – Devil's club – Lady fern,,
ESSFwv/07,Bl – Valerian – Sickle moss,,
ESSFwv/08,Bl – Horsetail – Glow moss,,
ESSFwv/09,Bl – Lady fern – Horsetail,,
ESSFwvw/101,Bl – Huckleberry – Bramble – (Oakfern),,
ESSFwvw/102,Bl – Huckleberry – Bunchberry – Feather moss,,
ESSFwvw/103,BlHm – Mountain-heather – Leafy liverwort,SN,late snow
ESSFwvw/104,Bl – Huckleberry – Partridge-foot,,
ESSFwvw/105,BlHm – Huckleberry – Blueberry,CAS,cold aspects - cold air
ESSFwvw/110,Bl – Huckleberry – Valerian – Leafy moss,,
ESSFwvw/111,Bl – Valerian – Horsetail – Leafy moss,,
ESSFxc1/101,BlSe – Grouseberry – Valerian,,
ESSFxc1/102,Pl – Juniper – Grouseberry – Clad lichens,,
ESSFxc1/103,Pl – Juniper – Pinegrass,,
ESSFxc1/104,BlPl – Grouseberry – Clad lichens,,
ESSFxc1/105,PlS – Trapper's tea – Grouseberry,,
ESSFxc1/110,Bl – Rhododendron – Grouseberry,CAS,cold aspects - cold air
ESSFxc1/111,BlSe – Trapper's tea – Valerian,,
ESSFxc1/112,Se – Horsetail – Bluejoint,,
ESSFxc1/113,Se – Rocky Mountain sedge – Valerian,,
ESSFxc1/Wb16,Sxw – Trapper's tea – Peat moss,,
ESSFxc1/Ws08,Bl – Sitka valerian – Horsetail,,
ESSFxc1/Ws08.1,Bl – Sitka valerian – Horsetail,,
ESSFxc1/Ws12,Sxw – Rocky Mountain sedge – Glow moss,,
ESSFxc2/101,BlSe – Grouseberry – Valerian,,
ESSFxc2/102,Pl – Juniper – Grouseberry – Clad lichens,,
ESSFxc2/103,BlPl – Grouseberry – Clad lichens,,
ESSFxc2/110,Bl – Rhododendron – Grouseberry,CAS,cold aspects - cold air
ESSFxc2/111,BlSe – Valerian – Globeflower,,
ESSFxc2/112,Se – Horsetail – Bluejoint,,
ESSFxc2/Wb16,Sxw – Trapper's tea – Peat moss,,
ESSFxc2/Ws08,Bl – Sitka valerian – Horsetail,,
ESSFxc2/Ws08.1,Bl – Sitka valerian – Horsetail,,
ESSFxc3/01,Bl – Grouseberry – Valerian,,
ESSFxc3/02,Pl – Juniper – Lupine,,
ESSFxc3/05,Bl – Grouseberry – Cladonia,,
ESSFxc3/06,Bl – Rhododendron – Grouseberry,,
ESSFxc3/07,Bl – Gooseberry – Foamflower,,
ESSFxc3/08,Bl – Horsetail – Glow moss,,
ESSFxc3/11,Sxw – Common horsetail – Leafy moss,,
ESSFxv1/01,Bl – Arnica – Cladonia,,
ESSFxv1/02,BlPa – Juniper – Cladonia,,
ESSFxv1/03,Pl – Cladonia – Stereocaulon,,
ESSFxv1/04,BlPa – Juniper – Grouseberry,IN,insolation
ESSFxv1/05,BlPa – Arnica – Twinflower,CAS,cold aspects - cold air
ESSFxv1/06,Bl – Rhododendron – Crowberry,CAS,cold aspects - cold air
ESSFxv1/07,Bl – Valerian – Arnica,,
ESSFxv1/08,Bl – Horsetail – Glow moss,CA,cold aspects - cold air
ESSFxv1/09,Bl – Twinberry – Hellebore,,
ESSFxv2/01,Bl – Arnica – Cladonia,,
ESSFxv2/02,BlPa – Juniper – Cladonia,,
ESSFxv2/03,BlPa – Kinnikinnick,,
ESSFxv2/04,BlPa – Juniper – Kinnikinnick,,
ESSFxv2/05,BlPa – Grouseberry,,
ESSFxv2/06,Bl – Rhododendron – Crowberry,,
ESSFxv2/07,Bl – Lousewort – Glow moss,,
ESSFxv2/08,Bl – Horsetail – Glow moss,,
ESSFxv2/09,Se – Trapper's tea – Glow moss,,
ESSFxv2/10,Se – Willow – Glow moss,,
ICHdk/01,CwSxw – Falsebox – Wintergreen,,
ICHdk/02,CwSxw – Soopolallie,,
ICHdk/02a,CwSxw – Soopolallie; Typic,IN,insolation
ICHdk/02b,CwSxw – Soopolallie; Shallow,,
ICHdk/03,CwSxw – Falsebox – Soopolallie,CA,cold aspects - cold air
ICHdk/04,CwSxw – Falsebox – Feathermoss,,
ICHdk/05,CwSxw – Thimbleberry,,
ICHdk/06,CwSxw – Raspberry – Oak fern,,
ICHdk/07,Sxw – Twinberry – Oak fern,CA,cold aspects - cold air
ICHdk/08,Sxw – Devil's club – Lady fern,,
ICHdk/09,Sxw – Horsetail,,
ICHdm/101,HwCw – Queen's cup – Pipecleaner moss,,
ICHdm/102,Fd – Snowberry – Oregon-grape,,
ICHdm/102a,Fd – Snowberry – Oregon-grape; Xeric phase,,
ICHdm/102b,Fd – Snowberry – Oregon-grape; Subxeric phase,,
ICHdm/103,Pl(Lw) – Pinegrass – Grouseberry,,
ICHdm/110,CwHw – Oak fern,,
ICHdm/111,CwHw – Devil's club – Lady fern,,
ICHdm/112,SxwCw – Horsetail – Lady fern,FR,frost
ICHdm/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
ICHdm/Fm02,Cottonwood – Spruce – Dogwood,Fm,mid fluvial bench
ICHdm/Fm04,Cottonwood – Redcedar – Dogwood – Lady fern,Fm,mid fluvial bench
ICHdm/Ws10,CwSxw– Skunk cabbage,,
ICHdw1/113,CwSxw – Skunk cabbage,,
ICHdw1/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
ICHdw1/Fm02,Cottonwood – Spruce – Dogwood,Fm,mid fluvial bench
ICHdw1/Fm04,Cottonwood – Redcedar – Dogwood – Lady fern,Fm,mid fluvial bench
ICHdw1/Ws10,CwSxw– Skunk cabbage,,
ICHdw4/101,CwFd – Prince's pine – Twinflower,,
ICHdw4/102,FdPl – Juniper – Kinnikinnick,,
ICHdw4/103,Fd – Douglas maple – Pinegrass,,
ICHdw4/104,FdCw – Douglas maple – Prince's pine,,
ICHdw4/110,CwHw – Devil's club – Lady fern,,
ICHdw4/110.1,CwHw – Devil's club – Lady fern,,
ICHdw4/110.2,CwHw – Lady fern – Oak fern,,
ICHdw4/111,CwHw – Horsetail – Lady fern,,
ICHdw4/112,CwSxw – Skunk cabbage,,
ICHdw4/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
ICHdw4/Fm02,Cottonwood – Spruce – Dogwood,Fm,mid fluvial bench
ICHdw4/Fm04,Cottonwood – Redcedar – Dogwood – Lady fern,Fm,mid fluvial bench
ICHdw4/Ws07,Sxw – Horsetail – Leafy moss,,
ICHdw4/Ws07.1,Sxw – Horsetail – Leafy moss; Typic variation,,
ICHdw4/Ws07.2,Sxw – Horsetail – Leafy moss; Soft-leaved sedge variation,,
ICHdw4/Ws10,CwSxw– Skunk cabbage,,
ICHmc1/01,Hw – Step moss,,
ICHmc1/01a,Hw – Step moss; Mesic,,
ICHmc1/01b,Hw – Step moss; Submesic,,
ICHmc1/02,HwPl – Kinnikinnick – Cladonia,,
ICHmc1/03,HwBl – Oak fern,,
ICHmc1/04,HwBl – Devil's club,,
ICHmc1/05,ActSx – Dogwood,Fm,mid fluvial bench
ICHmc1/06,Hw – Azalea – Skunk cabbage,,
ICHmc1/07,Pl – Bog-rosemary – Peat moss,,
ICHmc1a/01,HwBa – Bramble,,
ICHmc1a/01a,HwBa – Bramble; Mesic,,
ICHmc1a/01b,HwBa – Bramble; Submesic,,
ICHmc1a/02,HwBa – Oak fern,,
ICHmc1a/03,HwBa – Devil's club – Lady fern,,
ICHmc2/01,Hw – Step moss,,
ICHmc2/01.1,Hw – Step moss; Hw(Cw) variation,,
ICHmc2/01.2,Hw – Step moss; BlSx variation,,
ICHmc2/01a,Hw – Step moss; Mesic,,
ICHmc2/01a.1,Hw – Step moss; Mesic; Hw(Cw) variation,,
ICHmc2/01a.2,Hw – Step moss; Mesic; BlSx variation,CA,cold aspects - cold air
ICHmc2/01b,Hw – Step moss; Submesic,,
ICHmc2/01b.1,Hw – Step moss; Submesic; Hw(Cw) variation,,
ICHmc2/01b.2,Hw – Step moss; Submesic; BlSx variation,CA,cold aspects - cold air
ICHmc2/02,HwPl – Kinnikinnick – Cladonia,,
ICHmc2/03,HwCw – Oak fern,,
ICHmc2/04,CwHw – Devil's club – Oak fern,,
ICHmc2/05,Sx – Devil's club – Lady fern,FR,frost
ICHmc2/06,ActSx – Dogwood,Fm,mid fluvial bench
ICHmc2/06a,ActSx – Dogwood; High-bench,Fm,mid fluvial bench
ICHmc2/06b,ActSx – Dogwood; Medium-bench,Fm,mid fluvial bench
ICHmc2/07,CwSx – Horsetail – Skunk cabbage,,
ICHmc2/08,SbSx – Scrub birch – Sedge,CA,cold aspects - cold air
ICHmc2/09,Hw – Cloudberry – Peat moss,,
ICHmc2/10,Sb – Soft-leaved sedge – Peat moss,,
ICHmc2/11,Sb – Buckbean – Peat moss,,
ICHmc2/12,Sb – Skunk cabbage – Peat moss,,
ICHmk1/101,CwSxw – Falsebox,,
ICHmk1/102,Fd – Penstemon – Pinegrass,,
ICHmk1/103,Fd – Juniper – Pinegrass,,
ICHmk1/104,Sxw(Lw) – Grouseberry – Feather moss,,
ICHmk1/105,FdLw – Falsebox – Pinegrass,,
ICHmk1/110,CwSxw – Gooseberry – Foamflower,,
ICHmk1/111,SxwCw – Devil's club – Oak fern,,
ICHmk1/112,Sxw(Cw) – Horsetail – Oak fern,,
ICHmk1/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
ICHmk1/Fm02,Cottonwood – Spruce – Dogwood,Fm,mid fluvial bench
ICHmk1/Wb16,Sxw – Trapper's tea – Peat moss,,
ICHmk1/Ws07,Sxw – Horsetail – Leafy moss,,
ICHmk1/Ws07.1,Sxw – Horsetail – Leafy moss; Typic variation,,
ICHmk1/Ws07.2,Sxw – Horsetail – Leafy moss; Soft-leaved sedge variation,,
ICHmk1/Ws10,CwSxw– Skunk cabbage,,
ICHmk2/01,CwSxw – Falsebox – Knight's plume,,
ICHmk2/02,Fd – Juniper – Pinegrass,,
ICHmk2/03,Fd – Falsebox – Pinegrass,,
ICHmk2/04,CwSxw – Douglas maple – Fairybells,,
ICHmk2/05,CwSxw – Oak fern – Bunchberry,,
ICHmk2/06,Sxw – Horsetail,,
ICHmk3/01,CwSxw – Falsebox – Knight's plume,,
ICHmk3/02,FdCw – Wavy-leaved moss,,
ICHmk3/03,CwSxw – Soopolallie,IN,insolation
ICHmk3/04,CwSxw – Oak fern – Cat's-tail moss,,
ICHmk3/05,SxwCw – Oak fern,FR,frost
ICHmk3/06,CwHw – Devil's club – Lady fern,,
ICHmk3/07,CwSxw – Devil's club – Horsetail,,
ICHmk3/08,Pl  – Water sedge – Peat moss,,
ICHmk3/Wb07,Pl – Water sedge – Peat moss,,
ICHmk4/101,CwSxw – Falsebox,,
ICHmk4/102,Fd – Snowberry – Oregon-grape,,
ICHmk4/102a,Fd – Snowberry – Oregon-grape; Xeric phase,,
ICHmk4/102b,Fd – Snowberry – Oregon-grape; Subxeric phase,,
ICHmk4/103,Fd – Douglas maple – Falsebox,,
ICHmk4/110,CwSxw – Oak fern,,
ICHmk4/111,CwSxw – Devil's club,,
ICHmk4/112,SxwBl – Horsetail,FR,frost
ICHmk4/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
ICHmk4/Fm02,Cottonwood – Spruce – Dogwood,Fm,mid fluvial bench
ICHmk4/Ws07,Sxw – Horsetail – Leafy moss,,
ICHmk4/Ws07.1,Sxw – Horsetail – Leafy moss; Typic variation,,
ICHmk4/Ws07.2,Sxw – Horsetail – Leafy moss; Soft-leaved sedge variation,,
ICHmk5/101,CwSxw – Falsebox,,
ICHmk5/102,Fd – Juniper – Douglas maple,,
ICHmk5/103,Fd – Juniper – Pinegrass – Showy aster,,
ICHmk5/104,Fd – Pinegrass – Showy aster,,
ICHmk5/110,CwSxw – Devil's club – Oak fern,,
ICHmk5/111,SxwBl – Dogwood – Sarsaparilla,,
ICHmk5/112,SxwBl(Cw) – Horsetail,,
ICHmk5/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
ICHmk5/Fm02,Cottonwood – Spruce – Dogwood,Fm,mid fluvial bench
ICHmm/01,HwCw – Spruce – Step moss,,
ICHmm/02,CwSxw – Soopolallie,,
ICHmm/03,HwCw – Step moss,,
ICHmm/04,CwHw – Oak fern,,
ICHmm/05,CwHw – Devil's club – Oak fern,,
ICHmm/06,CwSxw – Devil's club – Horsetail,,
ICHmm/07,SbPl – Bog-laurel – Sphagnum,,
ICHmm/08,CwSxw – Skunk cabbage – Sphagnum,,
ICHmw1/01,HwCw – Falsebox – Feathermoss,,
ICHmw1/02,Pl – Juniper – Twinflower,,
ICHmw1/03,HwCw – Falsebox – Pipecleaner moss,,
ICHmw1/04,CwFd – Soopolallie – Douglas maple,,
ICHmw1/05,CwHw – Devil's club – Lady fern,,
ICHmw1/06,CwHw – Oval-leaved blueberry – Oak fern,,
ICHmw1/07,CwHw – Horsetail,,
ICHmw2/101,HwCw – Falsebox,,
ICHmw2/102,Fd(Pl) – Falsebox – Pinegrass,,
ICHmw2/103,Fd – Douglas maple – Falsebox,,
ICHmw2/104,FdCw – Falsebox – Prince's pine,IN,insolation
ICHmw2/110,CwHw – Oak fern,,
ICHmw2/111,CwHw – Devil's club – Lady fern,,
ICHmw2/111.1,CwHw – Devil's club – Lady fern,,
ICHmw2/111.2,CwHw – Lady fern – Oak fern,,
ICHmw2/112,Sxw(Hw) – Huckleberry – Oak fern,FR,frost
ICHmw2/113,CwHw – Horsetail – Lady fern,,
ICHmw2/114,CwSxw – Skunk cabbage,,
ICHmw2/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
ICHmw2/Fm02,Cottonwood – Spruce – Dogwood,Fm,mid fluvial bench
ICHmw2/Fm04,Cottonwood – Redcedar – Dogwood – Lady fern,Fm,mid fluvial bench
ICHmw2/Ws10,CwSxw– Skunk cabbage,,
ICHmw3/01,HwCw – Falsebox – Feathermoss,,
ICHmw3/02,Fd – Juniper – Cladina,,
ICHmw3/03,Fd – Pinegrass – Feathermoss,,
ICHmw3/04,CwFd – Soopolallie – Twinflower,,
ICHmw3/05,CwFd – Falsebox,,
ICHmw3/06,CwHw – Oak fern,,
ICHmw3/07,CwHw – Devil's club – Lady fern,Fh,high fluvial bench
ICHmw3/08,CwSxw – Skunk cabbage,,
ICHmw3/10,Sb – Buckbean – Peat moss,,
ICHmw4/101,HwCw – Falsebox,,
ICHmw4/102,FdPl – Juniper – Kinnikinnick,,
ICHmw4/103,Fd – Douglas maple – Falsebox,,
ICHmw4/104,FdCw – Falsebox – Prince's pine,,
ICHmw4/104.1,FdCw – Falsebox – Prince's pine,,
ICHmw4/104.2,FdCw – Falsebox – Bear-grass,,
ICHmw4/110,CwHw – Oak fern,,
ICHmw4/111,Sxw(Hw) – Huckleberry – Oak fern,FR,frost
ICHmw4/112,CwHw – Devil's club – Lady fern,,
ICHmw4/113,SxwBl – Devil's club – Lady fern,FR,frost
ICHmw4/114,SxwCw – Horsetail – Lady fern,,
ICHmw4/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
ICHmw4/Fm02,Cottonwood – Spruce – Dogwood,Fm,mid fluvial bench
ICHmw4/Fm04,Cottonwood – Redcedar – Dogwood – Lady fern,Fm,mid fluvial bench
ICHmw4/Ws10,CwSxw– Skunk cabbage,,
ICHmw5/101,HwCw – Falsebox,,
ICHmw5/102,FdPl – Juniper – Kinnikinnick,,
ICHmw5/103,Fd – Douglas maple – Falsebox,,
ICHmw5/104,FdCw – Falsebox – Prince's pine,,
ICHmw5/110,CwHw – Oak fern,,
ICHmw5/111,CwHw – Devil's club – Lady fern,,
ICHmw5/111.1,CwHw – Devil's club – Lady fern,,
ICHmw5/111.2,CwHw – Lady fern – Oak fern,,
ICHmw5/112,Sxw(Hw) – Huckleberry – Oak fern,,
ICHmw5/113,CwSxw – Skunk cabbage,,
ICHmw5/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
ICHmw5/Fm02,Cottonwood – Spruce – Dogwood,Fm,mid fluvial bench
ICHmw5/Fm04,Cottonwood – Redcedar – Dogwood – Lady fern,Fm,mid fluvial bench
ICHmw5/Wb16,Sxw – Trapper's tea – Peat moss,,
ICHmw5/Ws07,Sxw – Horsetail – Leafy moss,,
ICHmw5/Ws07.1,Sxw – Horsetail – Leafy moss; Typic variation,,
ICHmw5/Ws07.2,Sxw – Horsetail – Leafy moss; Soft-leaved sedge variation,,
ICHmw5/Ws10,CwSxw– Skunk cabbage,,
ICHvc/01,HwBl – Devil's club,,
ICHvc/01.1,HwBl – Devil's club; Hw variation,,
ICHvc/01.2,HwBl – Devil's club; Bl variation,FR,frost
ICHvc/02,Hw – Step moss,,
ICHvc/02.1,Hw – Step moss; Hw variation,,
ICHvc/02.2,Hw – Step moss; Bl variation,FR,frost
ICHvc/03,Sx – Devil's club,CA,cold aspects - cold air
ICHvc/03a,Sx – Devil's club; Fluvial,CA,cold aspects - cold air
ICHvc/03b,Sx – Devil's club; Morainal,CA,cold aspects - cold air
ICHvc/04,Sx – Devil's club – Dogwood,Fh,high fluvial bench
ICHvc/05,ActSx – Dogwood,Fm,mid fluvial bench
ICHvc/06,Sx – Horsetail,CA,cold aspects - cold air
ICHvc/07,Hw – Cloudberry – Peat moss,,
ICHvk1/01,CwHw – Devil's club – Lady fern,,
ICHvk1/02,HwCw – Falsebox – Feathermoss,,
ICHvk1/03,HwCw – Falsebox – Feathermoss,,
ICHvk1/04,CwHw – Oak fern – Spiny wood fern,,
ICHvk1/05,CwSxw – Devil's club – Horsetail,,
ICHvk1/06,CwSxw – Skunk cabbage,,
ICHvk2/01,CwHw – Devil's club – Lady fern,,
ICHvk2/02,HwCw – Cladonia,,
ICHvk2/03,HwCw – Step moss,,
ICHvk2/04,CwHw – Oak fern,,
ICHvk2/05,Cw – Devil's club – Ostrich fern,Fh,high fluvial bench
ICHvk2/06,CwSxw – Skunk cabbage,,
ICHvk2/07,Sb – Sphagnum,CA,cold aspects - cold air
ICHvk2/08,Pl – Bog-rosemary – Peat moss,,
ICHvk2/09,Sb – Buckbean – Peat moss,,
ICHvk2/10,Sb – Skunk cabbage – Peat moss,,
ICHwc/01,HwBl – Oak fern,,
ICHwc/02,HwPl – Feathermoss – Cladonia,,
ICHwc/03,Hw – Step moss,,
ICHwc/04,HwBl – Devil's club,,
ICHwc/05,Sx – Devil's club,FR,frost
ICHwc/06,ActSx – Dogwood,Fm,mid fluvial bench
ICHwc/07,HwSx – Blueberry – Sphagnum,CA,cold aspects - cold air
ICHwc/08,Sx – Horsetail,,
ICHwc/09,Hw – Cloudberry – Peat moss,,
ICHwc/10,Pl  – Water sedge – Peat moss,,
ICHwk1/01,CwHw – Oak fern,,
ICHwk1/03,PlHw – Velvet-leaved blueberry,,
ICHwk1/04,HwCw – Falsebox – Feathermoss,,
ICHwk1/05,CwHw – Devil's club – Lady fern,,
ICHwk1/06,CwSxw – Devil's club – Horsetail,Fh,high fluvial bench
ICHwk1/07,CwSxw – Skunk cabbage,,
ICHwk2/01,CwHw – Oak fern,,
ICHwk2/01a,CwHw – Oak fern; Typic,,
ICHwk2/01b,CwHw – Oak fern; Moist,,
ICHwk2/02,HwCw – Cladonia,,
ICHwk2/03,CwFd – Juniper – Falsebox,,
ICHwk2/04,HwCw – Step moss,,
ICHwk2/05,SxwCw – Oak fern,FR,frost
ICHwk2/06,Sxw – Twinberry – Oak fern,FR,frost
ICHwk2/07,CwHw – Devil's club – Lady fern,,
ICHwk2/08,CwSxw – Skunk cabbage,,
ICHwk2/09,Pl  – Water sedge – Peat moss,,
ICHwk2/10,Pl – Few-flowered sedge – Peat moss,,
ICHwk3/01,CwHw – Oak fern,,
ICHwk3/02,Hw – Azalea – Cladonia,,
ICHwk3/03,CwSxw – Prince's pine – Cat's-tail moss,,
ICHwk3/04,HwCw – Step moss,,
ICHwk3/05,CwHw – Devil's club – Lady fern,,
ICHwk3/06,CwSxw – Devil's club – Horsetail,,
ICHwk3/07,Hw – Wood horsetail – Sphagnum,,
ICHwk3/08,PlSb – Sedge – Sphagnum,,
ICHwk3/09,CwSxw – Skunk cabbage,,
ICHwk3/10,Pl – Bog-rosemary – Peat moss,,
ICHwk3/11,Sb – Buckbean – Peat moss,,
ICHwk4/01,CwHw – Oak fern,,
ICHwk4/01a,CwHw – Oak fern; Typic,,
ICHwk4/01b,CwHw – Oak fern; Moist,,
ICHwk4/02,HwCw – Cladonia,,
ICHwk4/03,CwSxw – Soopolallie,,
ICHwk4/04,CwSxw – Velvet-leaved blueberry,CA,cold aspects - cold air
ICHwk4/05,HwCw – Step moss,,
ICHwk4/06,Sxw – Twinberry – Oak fern,FR,frost
ICHwk4/07,CwHw – Devil's club – Lady fern,,
ICHwk4/08,Sxw – Devil's club – Lady fern,FR,frost
ICHwk4/10,ActSxw – Red-osier dogwood,Fm,mid fluvial bench
ICHxm1/101,FdCw – Falsebox – Prince's pine,,
ICHxm1/102,Py – Juniper – Penstemon – Bluebunch wheatgrass,,
ICHxm1/103,FdPy – Oregon-grape – Bluebunch wheatgrass,,
ICHxm1/104,Fd – Falsebox – Pinegrass,,
ICHxm1/104.1,Fd – Falsebox – Pinegrass,,
ICHxm1/104.2,Fd – Oceanspray – Pinegrass,,
ICHxm1/110,CwFd – Thimbleberry – Sarsaparilla,,
ICHxm1/111,Cw – Devil's club – Baneberry,,
ICHxm1/112,CwSxw – Skunk cabbage,,
ICHxm1/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
ICHxm1/Fm02,Cottonwood – Spruce – Dogwood,Fm,mid fluvial bench
ICHxm1/Fm04,Cottonwood – Redcedar – Dogwood – Lady fern,Fm,mid fluvial bench
ICHxm1/Fm05,Cottonwood – Douglas-fir – Douglas maple – Snowberry,Fm,mid fluvial bench
ICHxm1/Ws07,Sxw – Horsetail – Leafy moss,,
ICHxm1/Ws07.1,Sxw – Horsetail – Leafy moss; Typic variation,,
ICHxm1/Ws07.2,Sxw – Horsetail – Leafy moss; Soft-leaved sedge variation,,
ICHxm1/Ws10,CwSxw– Skunk cabbage,,
ICHxw/101,CwFd – Hazelnut – Sarsaparilla,,
ICHxw/102,FdPy – Oceanspray – Bluebunch wheatgrass,,
ICHxw/103,FdPy – Oregon-grape – Pinegrass,,
ICHxw/104,Fd(Py) – Douglas maple – Pinegrass,,
ICHxw/110,CwHw – Foamflower,,
ICHxw/111,CwHw – Oak fern,,
ICHxw/112,CwHw – Horsetail – Lady fern,,
ICHxw/113,CwSxw – Skunk cabbage,,
ICHxw/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
ICHxw/Ws10,CwSxw– Skunk cabbage,,
ICHxwa/101,CwFd – Hazelnut – Sarsaparilla,,
ICHxwa/102,FdPy – Oceanspray – Bluebunch wheatgrass,,
ICHxwa/103,FdPy – Oregon-grape – Pinegrass,,
ICHxwa/104,Fd(Py) – Douglas maple – Pinegrass,,
ICHxwa/110,CwHw – Foamflower,,
ICHxwa/111,CwHw – Oak fern,,
ICHxwa/112,CwHw – Horsetail – Lady fern,,
ICHxwa/113,CwSxw – Skunk cabbage,,
ICHxwa/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
ICHxwa/Ws10,CwSxw– Skunk cabbage,,
IDFdh/101,FdLw – Ninebark – Pinegrass,,
IDFdh/102,PyFd – Ninebark – Selaginella,,
IDFdh/103,PyFd – Snowberry – Bluebunch wheatgrass,,
IDFdh/104,FdPy – Snowberry – Pinegrass,,
IDFdh/104.1,FdPy – Snowberry – Pinegrass,,
IDFdh/104.2,FdPy – Snowberry – Ninebark,,
IDFdh/110,Fd(Lw) – Douglas maple – Sarsaparilla,,
IDFdh/111,Sxw – Douglas maple – Oak fern,,
IDFdh/Fm01,Cottonwood – Snowberry – Rose,Fm,mid fluvial bench
IDFdh/Fm05,Cottonwood – Douglas-fir – Douglas maple – Snowberry,Fm,mid fluvial bench
IDFdk1/101,FdPl – Pinegrass – Feather moss,,
IDFdk1/102,Fd – Juniper – Kinnikinnick,,
IDFdk1/103,Fd(Py) – Bluebunch wheatgrass – Pinegrass,IN,insolation
IDFdk1/104,Fd(Pl) – Pinegrass – Kinnikinnick,,
