"","SS_NoSpace","SiteSeriesLongName","SpecialCode","Special"
"369","CWHvm1/104","FdcHw – Blueberry – Salal","IN","insolation"
"370","CWHvm1/105","HwBa – Deer fern – Sword fern","",""
"371","CWHvm1/110","HwBa – Sword fern – Foamflower","",""
"372","CWHvm1/111","HwCw – Deer fern – Lanky moss","",""
"373","CWHvm1/111.1","HwCw – Deer fern – Lanky moss; Deer fern variation","",""
"374","CWHvm1/111.2","HwCw – Deer fern – Lanky moss; Salal variation","",""
"375","CWHvm1/112","BaHw – Salmonberry – Devil's club","",""
"376","CWHvm1/112.1","BaHw – Salmonberry – Devil's club; Salmonberry variation","",""
"377","CWHvm1/112.2","BaHw – Salmonberry – Devil's club; Devil's club variation","",""
"378","CWHvm1/113","CwHwYc – Goldthread – Peat mosses","",""
"379","CWHvm1/114","SsHw – Salmonberry – Lily-of-the-valley","Fh","high fluvial bench"
"380","CWHvm1/Fm50","ActDr – Salmonberry","Fm","mid fluvial bench"
"381","CWHvm1/Fm50.1","ActDr – Salmonberry; Salmonberry variation","Fm","mid fluvial bench"
"382","CWHvm1/Fm50.2","ActDr – Salmonberry; Devil's club variation","Fm","mid fluvial bench"
"383","CWHvm1/Fm54","MbDr – Salmonberry – Sword fern","Fm","mid fluvial bench"
"384","CWHvm1/Wb51","Plc – Crowberry – Peat mosses","",""
"385","CWHvm1/Wb53","PlcYc – Tufted clubrush","",""
"386","CWHvm1/Wb53.2","PlcYc – Tufted clubrush; Tall shrub variation","",""
"387","CWHvm1/Wb53.3","PlcYc – Tufted clubrush; Low shrub variation","",""
"388","CWHvm1/Wb55","Plc – Labrador tea – Peat mosses","",""
"389","CWHvm1/Wb55.1","Plc – Labrador tea – Peat mosses; Typic variation","",""
"390","CWHvm1/Wb56","PlcHw – Salal – Peat mosses","",""
"391","CWHvm1/Ws54","CwHw – Azalea – Skunk cabbage","",""
"392","CWHvm1/Ws54.1","CwHw – Azalea – Skunk cabbage; Typic variation","",""
"393","CWHvm1/Ws56","SsHw – Skunk cabbage","",""
"394","CWHvm1/Ws56.1","SsHw – Skunk cabbage; CwHw variation","",""
"395","CWHvm1/Ws58","CwHw – Slough sedge","",""
"396","CWHvm1/Ws58.1","CwHw – Slough sedge; Typic variation","",""
"397","CWHvm1/Ws60","Ss – Crabapple – Slough sedge","SS","salt spray"
"398","CWHvm2/101","HwBaYc – Blueberry – Lanky moss","",""
"399","CWHvm2/102","HwFdc – Salal – Rock mosses","",""
"400","CWHvm2/103","HwYc – Salal – Step moss","",""
"401","CWHvm2/104","HmYc – Copperbush – Mountain-heaths","SN","late snow"
"402","CWHvm2/105","FdcHw – Blueberry – Salal","IN","insolation"
"403","CWHvm2/110","HwBa – Blueberry – Foamflower","",""
"404","CWHvm2/111","HmBaYc – Deer fern – Lanky moss","",""
"405","CWHvm2/111.1","HmBaYc – Deer fern – Lanky moss; Deer fern variation","",""
"406","CWHvm2/111.2","HmBaYc – Deer fern – Lanky moss; Salal variation","",""
"407","CWHvm2/112","BaHw – Salmonberry – Devil's club","",""
"408","CWHvm2/112.1","BaHw – Salmonberry – Devil's club; Salmonberry variation","",""
"409","CWHvm2/112.2","BaHw – Salmonberry – Devil's club; Devil's club variation","",""
"410","CWHvm2/113","HmYc – Goldthread – Peat mosses","",""
"411","CWHvm2/114","HmYc – Deer cabbage – Peat mosses","",""
"412","CWHvm2/115","BaHwHm – Hellebore","",""
"413","CWHvm2/Wb51","Plc – Crowberry – Peat mosses","",""
"414","CWHvm2/Wb53","PlcYc – Tufted clubrush","",""
"415","CWHvm2/Wb53.2","PlcYc – Tufted clubrush; Tall shrub variation","",""
"416","CWHvm2/Wb53.3","PlcYc – Tufted clubrush; Low shrub variation","",""
"417","CWHvm2/Wb55","Plc – Labrador tea – Peat mosses","",""
"418","CWHvm2/Wb55.1","Plc – Labrador tea – Peat mosses; Typic variation","",""
"419","CWHvm2/Wb58","YcHm – Narrow-leaved cotton-grass – Peat mosses","",""
"420","CWHvm2/Ws54","CwHw – Azalea – Skunk cabbage","",""
"421","CWHvm2/Ws54.1","CwHw – Azalea – Skunk cabbage; Typic variation","",""
"422","CWHvm2/Ws55","YcHm – Skunk cabbage","",""
"423","CWHvm3/101","HwBa – Blueberry – Lanky moss","",""
"424","CWHvm3/102","PlcHw – Salal – Reindeer lichens","",""
"425","CWHvm3/103","CwHw – Salal – Deer fern","",""
"426","CWHvm3/104","HwBa – Deer fern – Sword fern","",""
"427","CWHvm3/110","HwBa – Wood fern – Foamflower","",""
"428","CWHvm3/111","HwCw – Deer fern – Lanky moss","",""
"429","CWHvm3/111.1","HwCw – Deer fern – Lanky moss; Deer fern variation","",""
"430","CWHvm3/111.2","HwCw – Deer fern – Lanky moss; Salal variation","",""
"431","CWHvm3/112","BaHwSs – Devil's club – Salmonberry","",""
"432","CWHvm3/112.1","BaHwSs – Devil's club – Salmonberry; Salmonberry variation","",""
"433","CWHvm3/112.2","BaHwSs – Devil's club – Salmonberry; Devil's club variation","",""
"434","CWHvm3/113","CwHwYc – Goldthread – Peat mosses","",""
"435","CWHvm3/114","SsHw – Salmonberry – Devil's club","Fh","high fluvial bench"
"436","CWHvm3/Fm50","ActDr – Salmonberry","Fm","mid fluvial bench"
"437","CWHvm3/Fm50.2","ActDr – Salmonberry; Devil's club variation","Fm","mid fluvial bench"
"438","CWHvm3/Wb51","Plc – Crowberry – Peat mosses","",""
"439","CWHvm3/Wb53","PlcYc – Tufted clubrush","",""
"440","CWHvm3/Wb53.2","PlcYc – Tufted clubrush; Tall shrub variation","",""
"441","CWHvm3/Wb53.3","PlcYc – Tufted clubrush; Low shrub variation","",""
"442","CWHvm3/Ws54","CwHw – Azalea – Skunk cabbage","",""
"443","CWHvm3/Ws54.1","CwHw – Azalea – Skunk cabbage; Typic variation","",""
"444","CWHvm3/Ws56","SsHw – Skunk cabbage","",""
"445","CWHvm3/Ws56.3","SsHw – Skunk cabbage; HwSs variation","",""
"446","CWHvm3/Ws58","CwHw – Slough sedge","",""
"447","CWHvm3/Ws58.1","CwHw – Slough sedge; Typic variation","",""
"448","CWHvm3/Ws60","Ss – Crabapple – Slough sedge","SS","salt spray"
"449","CWHvm4/101","HwBaYc – Blueberry – Lanky moss","",""
"450","CWHvm4/102","YcHm – Crowberry – Reindeer lichens","",""
"451","CWHvm4/103","HmBaYc – Salal – Azalea","",""
"452","CWHvm4/104","HmYc – Copperbush – Mountain-heaths","SN","late snow"
"453","CWHvm4/110","HwBa – Blueberry – Foamflower","",""
"454","CWHvm4/111","HmBaYc – Salal – Deer fern","",""
"455","CWHvm4/112","HwBa – Devil's club – Oak fern","",""
"456","CWHvm4/113","HmYc – Goldthread – Peat mosses","",""
"457","CWHvm4/Wb51","Plc – Crowberry – Peat mosses","",""
"458","CWHvm4/Wb53","PlcYc – Tufted clubrush","",""
"459","CWHvm4/Wb53.2","PlcYc – Tufted clubrush; Tall shrub variation","",""
"460","CWHvm4/Wb53.3","PlcYc – Tufted clubrush; Low shrub variation","",""
"461","CWHvm4/Wb58","YcHm – Narrow-leaved cotton-grass – Peat mosses","",""
"462","CWHvm4/Ws54","CwHw – Azalea – Skunk cabbage","",""
"463","CWHvm4/Ws54.1","CwHw – Azalea – Skunk cabbage; Typic variation","",""
"464","CWHvm4/Ws55","YcHm – Skunk cabbage","",""
"465","CWHvm4/Ws56","SsHw – Skunk cabbage","",""
"466","CWHvm4/Ws56.2","SsHw – Skunk cabbage; CwSs variation","",""
"467","CWHvm4/Ws56.3","SsHw – Skunk cabbage; HwSs variation","",""
"468","CWHwh1/101","HwSs – Lanky moss","",""
"469","CWHwh1/101a","HwSs – Lanky moss; Mesic phase","",""
"470","CWHwh1/101b","HwSs – Lanky moss; Moister phase","",""
"471","CWHwh1/102","CwHw – Salal – Oregon beaked moss","",""
"472","CWHwh1/103","Ss – Salal","SS","salt spray"
"473","CWHwh1/103.1","Ss – Salal ; typic variation","SS","salt spray"
"474","CWHwh1/103.2","Ss – Salal; reedgrass variation","SS","salt spray"
"475","CWHwh1/104","SsHw – Oregon beaked moss","SS","salt spray"
"476","CWHwh1/105","CwSs – Sword fern","",""
"477","CWHwh1/105a","CwSs – Sword fern; Colluvial/morainal phase","",""
"478","CWHwh1/105b","CwSs – Sword fern; Limestone phase","",""
"479","CWHwh1/110","CwHw – Salal – Deer fern","",""
"480","CWHwh1/110a","CwHw – Salal – Deer fern; Podzolic phase","",""
"481","CWHwh1/110b","CwHw – Salal – Deer fern; Gleysolic/organic phase","",""
"482","CWHwh1/111","CwSs – Foamflower","",""
"483","CWHwh1/111a","CwSs – Foamflower; Colluvial/morainal phase","",""
"484","CWHwh1/111b","CwSs – Foamflower; Alluvial fan phase","Fh","high fluvial bench"
"485","CWHwh1/111c","CwSs – Foamflower; Limestone phase","",""
"486","CWHwh1/112","Ss – Lily-of-the-valley","Fh","high fluvial bench"
"487","CWHwh1/113","Ss – Trisetum","Fm","mid fluvial bench"
"488","CWHwh1/115","CwYc – Salal – Goldthread","",""
"489","CWHwh1/116","CwSs – Snake liverwort","",""
"490","CWHwh1/117","Ss – Pacific crabapple – Slough sedge","SS","salt spray"
"491","CWHwh1/118","CwSs – Skunk cabbage","",""
"492","CWHwh1/118a","CwSs – Skunk cabbage; Mineral phase","",""
"493","CWHwh1/118b","CwSs – Skunk cabbage; Organic phase","",""
"494","CWHwh1/Wb51","Plc – Crowberry – Austin's Peat moss","",""
"495","CWHwh1/Wb51.1","Plc – Crowberry – Austin's Peat moss; Tall shrub variation","",""
"496","CWHwh1/Wb51.2","Plc – Crowberry – Austin's Peat moss; Wooded variation","",""
"497","CWHwh1/Wb53","PlcYc – Tufted clubrush","",""
"498","CWHwh1/Wb53.1","PlcYc – Tufted clubrush; Wooded variation","",""
"499","CWHwh1/Wb53.2","PlcYc – Tufted clubrush; Tall shrub variation","",""
"500","CWHwh2/101","HwSs – Lanky moss","",""
"501","CWHwh2/101a","HwSs – Lanky moss; Mesic phase","",""
"502","CWHwh2/101b","HwSs – Lanky moss; Drier phase","",""
"503","CWHwh2/101c","HwSs – Lanky moss; Moister phase","",""
"504","CWHwh2/110","SsYc – Oak fern","",""
"505","CWHwh2/111","YcHm – Goldthread","",""
"506","CWHwh2/112","SsYc – Hellebore – Snake liverwort","",""
"507","CWHwh2/112a","SsYc – Hellebore – Snake liverwort; Hygric phase","Fh","high fluvial bench"
"508","CWHwh2/112b","SsYc – Hellebore – Snake liverwort ; Subhydric phase","",""
"509","CWHwh2/Wb53","PlcYc – Tufted clubrush","",""
"510","CWHwm/101","HwSs – Blueberry – Lanky moss","",""
"511","CWHwm/101a","HwSs – Blueberry – Lanky moss; Typic phase","",""
"512","CWHwm/101b","HwSs – Blueberry – Lanky moss; Subxeric phase","",""
"513","CWHwm/102","YcHm – Crowberry – Reindeer lichens","",""
"514","CWHwm/110","HwSs – Wood fern – Oak fern","",""
"515","CWHwm/111","HmYc – Azalea – Peat mosses","",""
"516","CWHwm/112","SsHw – Devil's club – Wood fern","",""
"517","CWHwm/112a","SsHw – Devil's club – Wood fern; Typic phase","",""
"518","CWHwm/112b","SsHw – Devil's club – Wood fern; Fluvial phase","Fh","high fluvial bench"
"519","CWHwm/113","SsHw – Salmonberry – Devil's club","Fh","high fluvial bench"
"520","CWHwm/Fm50","ActDr – Salmonberry","Fm","mid fluvial bench"
"521","CWHwm/Fm50.1","ActDr – Salmonberry; Salmonberry variation","Fm","mid fluvial bench"
"522","CWHwm/Fm50.2","ActDr – Salmonberry; Devil's club variation","Fm","mid fluvial bench"
"523","CWHwm/Wb51","Plc – Crowberry – Peat mosses","",""
"524","CWHwm/Wb53","PlcYc – Tufted clubrush","",""
"525","CWHwm/Wb53.3","PlcYc – Tufted clubrush; Low shrub variation","",""
"526","CWHwm/Wb57","PlcYc – Deer cabbage – Peat mosses","",""
"527","CWHwm/Ws55","YcHm – Skunk cabbage","",""
"528","CWHwm/Ws56","SsHw – Skunk cabbage","",""
"529","CWHwm/Ws56.3","SsHw – Skunk cabbage; HwSs variation","",""
"530","CWHwm/Ws60","Ss – Crabapple – Slough sedge","SS","salt spray"
"531","CWHws1/101","HwBa – Blueberry – Step moss","",""
"532","CWHws1/102","HwPl – Feather moss – Clad lichens","",""
"533","CWHws1/103","HwPl – Feather moss","",""
"534","CWHws1/110","HwBa – Oak fern – Wood fern","",""
"535","CWHws1/111","HwBa – Blueberry – Queen's cup","",""
"536","CWHws1/112","CwHw – Devil's club – Enchanter's-nightshade","",""
"537","CWHws1/113","SsHw – Salmonberry – Devil's club","Fh","high fluvial bench"
"538","CWHws1/Fm50","ActDr – Salmonberry","Fm","mid fluvial bench"
"539","CWHws1/Fm50.1","ActDr – Salmonberry; Salmonberry variation","Fm","mid fluvial bench"
"540","CWHws1/Wb51","Plc – Crowberry – Peat mosses","",""
"541","CWHws1/Wb53","PlcYc – Tufted clubrush","",""
"542","CWHws1/Wb53.3","PlcYc – Tufted clubrush; Low shrub variation","",""
"543","CWHws1/Ws56","SsHw – Skunk cabbage","",""
"544","CWHws1/Ws56.2","SsHw – Skunk cabbage; CwSs variation","",""
"545","CWHws2/101","HwBa – Blueberry – Step moss","",""
"546","CWHws2/102","HwPl – Feather moss – Clad lichens","",""
"547","CWHws2/103","Hw – Blueberry – Step moss","",""
"548","CWHws2/110","HwBa – Oak fern – Wood fern","",""
"549","CWHws2/111","HwBa – Blueberry – Queen's cup","",""
"550","CWHws2/112","HwBa – Devil's club – Oak fern","",""
"551","CWHws2/113","BaHw – Salmonberry – Devil's club","Fh","high fluvial bench"
"552","CWHws2/114","Bl – Devil's club – Oak fern","FR","frost"
"553","CWHws2/Fm50","ActDr – Salmonberry","Fm","mid fluvial bench"
"554","CWHws2/Fm50.2","ActDr – Salmonberry; Devil's club variation","Fm","mid fluvial bench"
"555","CWHws2/Wb51","Plc – Crowberry – Peat mosses","",""
"556","CWHws2/Ws56","SsHw – Skunk cabbage","",""
"557","CWHws2/Ws56.2","SsHw – Skunk cabbage; CwSs variation","",""
"558","CWHws2/Ws59","HmBl – Skunk cabbage","",""
"559","CWHws3/101","HwBa – Blueberry – Step moss","",""
"560","CWHws3/102","FdcPlHw – Kinnikinnick","",""
"561","CWHws3/103","HwFdc – Azalea – Falsebox","",""
"562","CWHws3/110","HwBa – Oak fern – Wood fern","",""
"563","CWHws3/111","HwBa – Azalea – Bunchberry","",""
"564","CWHws3/112","HwFdc – Devil's club – Oak fern","",""
"565","CWHws3/113","SsHw – Salmonberry – Devil's club","Fh","high fluvial bench"
"566","CWHws3/Wb51","Plc – Crowberry – Peat mosses","",""
"567","CWHws3/Ws56","SsHw – Skunk cabbage","",""
"568","CWHws3/Ws56.2","SsHw – Skunk cabbage; CwSs variation","",""
"569","CWHws3/Ws58","CwHw – Slough sedge","",""
"570","CWHws3/Ws58.1","CwHw – Slough sedge; Typic variation","",""
"571","CWHxs/101","FdcHw – Dull Oregon-grape – Falsebox","",""
"572","CWHxs/101.1","FdcHw – Dull Oregon-grape – Falsebox; Typic variation","",""
"573","CWHxs/101.2","FdcHw – Dull Oregon-grape – Falsebox; Rhododendron variation","",""
"574","CWHxs/102","Fdc – Kinnikinnick – Feather moss – Reindeer lichens","",""
"575","CWHxs/103","Fdc – Dull Oregon-grape – Feather moss","",""
"576","CWHxs/103.1","Fdc – Dull Oregon-grape – Feather moss; Typic variation","",""
"577","CWHxs/103.2","Fdc – Dull Oregon-grape – Feather moss; Rhododendron variation","",""
"578","CWHxs/110","CwFdc – Vine maple – Dull Oregon-grape","",""
"579","CWHxs/111","Hw – Queen's cup","",""
"580","CWHxs/112","CwFdc – Vine maple – Foamflower","",""
"581","CWHxs/113","CwHw – Vine maple – Dogwood","Fh","high fluvial bench"
"582","CWHxs/Wb55","Plc – Labrador tea – Peat mosses","",""
"583","CWHxs/Ws56","SsHw – Skunk cabbage","",""
"584","CWHxs/Ws56.1","SsHw – Skunk cabbage; CwHw variation","",""
"585","ESSFdc1/101","BlSe – Rhododendron – Valerian","",""
"586","ESSFdc1/102","BlPl – Huckleberry","",""
"587","ESSFdc1/103","BlPl – Falsebox – Grouseberry","",""
"588","ESSFdc1/104","Bl – Rhododendron – Grouseberry","",""
"589","ESSFdc1/110","BlSe – Rhododendron – Hellebore","",""
"590","ESSFdc1/111","Bl – Valerian – Foamflower","",""
"591","ESSFdc1/112","Se – Horsetail – Globeflower","",""
"592","ESSFdc1/112a","Se – Horsetail – Globeflower; Riparian phase","",""
"593","ESSFdc1/112b","Se – Valerian – Horsetail; Swamp phase","",""
"594","ESSFdc1/Wb16","Sxw – Trapper's tea – Peat moss","",""
"595","ESSFdc1/Ws08","Bl – Sitka valerian – Horsetail","",""
"596","ESSFdc1/Ws08.1","Bl – Sitka valerian – Horsetail","",""
"597","ESSFdc1/Ws08.2","SxwBl – Horsetail – Canby's Lovage","",""
"598","ESSFdc2/101","BlSe – Rhododendron – Valerian","",""
"599","ESSFdc2/102","Pl – Juniper – Grouseberry – Clad lichens","",""
"600","ESSFdc2/103","Pl – Pinegrass – Grouseberry","IN","insolation"
"601","ESSFdc2/104","BlPl – Grouseberry – Clad lichens","",""
"602","ESSFdc2/110","SeBl – Trapper's tea – Grouseberry","CA","cold aspects - cold air"
"603","ESSFdc2/111","BlSe – Valerian – Globeflower","",""
"604","ESSFdc2/112","Se – Horsetail – Valerian","",""
"605","ESSFdc2/Wb16","Sxw – Trapper's tea – Peat moss","",""
"606","ESSFdc2/Ws08","Bl – Sitka valerian – Horsetail","",""
"607","ESSFdc2/Ws08.1","Bl – Sitka valerian – Horsetail","",""
"608","ESSFdc3/01","Bl – Rhododendron – Grouseberry","",""
"609","ESSFdc3/03","PlSe – Falsebox – Pinegrass","",""
"610","ESSFdc3/04","Bl – Grouseberry – Cladonia","",""
"611","ESSFdc3/05","Bl – Huckleberry – Feathermoss","",""
"612","ESSFdc3/06","Bl – Gooseberry – Oak fern","",""
"613","ESSFdc3/07","Bl – Rhododendron – Valerian","",""
"614","ESSFdc3/08","Bl – Trapper's tea","",""
"615","ESSFdcw/101","Bl – Valerian – Woodrush","",""
"616","ESSFdcw/102","BlPa – Grouseberry","",""
"617","ESSFdcw/103","Bl – Rhododendron – Grouseberry","",""
"618","ESSFdcw/110","Bl – Valerian – Hellebore – Globeflower","",""
"619","ESSFdcw/Ws08.2","SeBl – Horsetail – Canby's Lovage","",""
"620","ESSFdh1/101","BlBa – Huckleberry – Pipecleaner moss","",""
"621","ESSFdh1/102","FdBl – Falsebox – Rock mosses","",""
"622","ESSFdh1/103","BlPl – Falsebox – Grouseberry","",""
"623","ESSFdh1/104","FdBl – Falsebox – Pinegrass","IN","insolation"
"624","ESSFdh1/110","SeBl(Ba) – Oak fern – Bramble","",""
"625","ESSFdh1/111","SeBl – Horsetail – Oak fern","",""
"626","ESSFdh1/Ws07","Sxw – Horsetail – Leafy moss","",""
"627","ESSFdh1/Ws07.1","Sxw – Horsetail – Leafy moss; Typic variation","",""
"628","ESSFdh1/Ws07.2","Sxw – Horsetail – Leafy moss; Soft-leaved sedge variation","",""
"629","ESSFdk1/101","BlSe – Azalea","",""
"630","ESSFdk1/102","PlFd – Juniper – Douglas maple","",""
"631","ESSFdk1/103","BlPl – Grouseberry","IN","insolation"
"632","ESSFdk1/104","BlPl – Azalea – Grouseberry","",""
"633","ESSFdk1/110","BlSe – Azalea – Foamflower","",""
"634","ESSFdk1/111","Se – Horsetail – Bluejoint","",""
"635","ESSFdk1/111a","Se – Horsetail – Bluejoint; Riparian phase","Fh","high fluvial bench"
"636","ESSFdk1/111b","Se – Horsetail – Bluejoint; Swamp phase","",""
"637","ESSFdk1/Wb15","Sxw – Labrador tea – Peat moss","",""
"638","ESSFdk1/Wb16","Sxw – Trapper’s tea – Peat moss","",""
"639","ESSFdk1/Ws08","Bl – Sitka valerian – Common horsetail","",""
"640","ESSFdk2/101","BlSe – Azalea – Feathermoss","",""
"641","ESSFdk2/102","PlFd – Juniper – Douglas maple","",""
"642","ESSFdk2/103","PlBl – Juniper – Showy aster","IN","insolation"
"643","ESSFdk2/104","BlPl – Azalea – Grouseberry","",""
"644","ESSFdk2/110","BlSe – Azalea – Oak fern","",""
"645","ESSFdk2/111","BlSe – Azalea – Foamflower","",""
"646","ESSFdk2/112","SeBl – Horsetail – Feathermoss","",""
"647","ESSFdk2/112a","SeBl – Horsetail – Feathermoss; Riparian phase","Fh","high fluvial bench"
"648","ESSFdk2/112b","SeBl – Horsetail – Feathermoss; Swamp phase","",""
"649","ESSFdk2/Wb15","Sxw – Labrador tea – Peat moss","",""
"650","ESSFdk2/Ws08","Bl – Sitka valerian – Common horsetail","",""
"651","ESSFdkw/101","BlSe – Grouseberry – Leafy liverwort","",""
"652","ESSFdkw/101.1","BlSe – Grouseberry – Leafy liverwort","",""
"653","ESSFdkw/101.2","BlSe – Rhododendeon – Grouseberry","",""
"654","ESSFdkw/102","BlLa – Grouseberry","",""
"655","ESSFdkw/103","BlSePa – Grouseberry","",""
"656","ESSFdkw/110","BlSe – Grouseberry – Valerian","",""
"657","ESSFmc/01","Bl – Huckleberry – Leafy liverwort","",""
"658","ESSFmc/01a","Bl – Huckleberry – Leafy liverwort; Medium-textured","",""
"659","ESSFmc/01b","Bl – Huckleberry – Leafy liverwort; Fine-textured","",""
"660","ESSFmc/02","BlPl – Juniper – Cladonia","",""
"661","ESSFmc/03","Bl – Huckleberry – Crowberry","",""
"662","ESSFmc/04","Bl – Huckleberry – Heron's-bill","",""
"663","ESSFmc/05","Bl – Huckleberry – Thimbleberry","",""
"664","ESSFmc/06","Bl – Oak fern – Heron's-bill","",""
"665","ESSFmc/07","Bl – Devil's club – Lady fern","",""
"666","ESSFmc/08","Bl – Valerian – Sickle moss","SN","late snow"
"667","ESSFmc/09","Bl – Horsetail – Glow moss","",""
"668","ESSFmc/10","Bl – Horsetail – Leafy moss","",""
"669","ESSFmc/11","Pl – Few-flowered sedge – Peat moss","",""
"670","ESSFmcw/101","Bl – Huckleberry – (Valerian) – Heron's-bill","",""
"671","ESSFmcw/101a","Bl – Huckleberry – (Valerian) – Heron's-bill; Mesic phase","",""
"672","ESSFmcw/101b","Bl – Huckleberry – (Valerian) – Heron's-bill; Submesic phase","",""
"673","ESSFmcw/102","Bl(Pa) – Crowberry – Heron's-bill","",""
"674","ESSFmcw/103","Bl – Mountain-heather – Leafy liverwort","SN","late snow"
"675","ESSFmcw/110","Bl – Valerian – Leafy liverwort","",""
"676","ESSFmcw/111","Bl – Leatherleaf – Leafy moss","",""
"677","ESSFmh/101","BlSe – Rhododendron – Foamflower","",""
"678","ESSFmh/102","FdPl – Juniper – Falsebox","",""
"679","ESSFmh/103","BlFd – Huckleberry – Falsebox","",""
"680","ESSFmh/104","BlPl – Falsebox – Grouseberry","",""
"681","ESSFmh/105","BlCwLw – Queen's cup","",""
"682","ESSFmh/110","Bl – Rhododendron – Oak fern","",""
"683","ESSFmh/111","BlSe – Lady fern – Oak fern","",""
"684","ESSFmh/112","SeBl – Horsetail – Arrow–leaved groundsel","",""
"685","ESSFmh/112a","SeBl – Horsetail – Arrow–leaved groundsel; Riparian phase","",""
"686","ESSFmh/112b","SeBl – Horsetail – Canby's lovage; Swamp phase","",""
"687","ESSFmh/Wb16","Sxw – Trapper's tea – Peat moss","",""
"688","ESSFmh/Ws08","Bl – Sitka valerian – Horsetail","",""
"689","ESSFmh/Ws08.1","Bl – Sitka valerian – Horsetail","",""
"690","ESSFmh/Ws08.2","SeBl – Horsetail – Canby's Lovage","",""
"691","ESSFmk/01","BlHm – Twistedstalk","",""
"692","ESSFmk/02","BlPa – Cladonia","",""
"693","ESSFmk/02a","BlPa – Cladonia; Lithic","",""
"694","ESSFmk/02b","BlPa – Cladonia; Fluvial","Fh","high fluvial bench"
"695","ESSFmk/03","BlHm – Cladonia","",""
"696","ESSFmk/04","BlHm – Oak fern","",""
"697","ESSFmk/05","Bl – Devil's club – Lady fern","",""
"698","ESSFmk/06","Bl – Horsetail – Leafy moss","",""
"699","ESSFmk/07","Bl – Lady fern – Horsetail","",""
"700","ESSFmkw/101","Bl(Hm) – Huckleberry – (Twistedstalk) – Heron's-bill","",""
"701","ESSFmkw/102","BlPa(Hm) – Huckleberry – Clad lichens","",""
"702","ESSFmkw/103","BlHm – Mountain-heather – Leafy liverwort","SN","late snow"
"703","ESSFmkw/104","BlHm – Huckleberry – Blueberry","",""
"704","ESSFmkw/110","Bl(Hm) – Huckleberry – Valerian – Leafy moss","",""
"705","ESSFmkw/111","Bl – Valerian – Sitka burnet – Horsetail","",""
"706","ESSFmm1/01","Bl – Azalea – Gooseberry","",""
"707","ESSFmm1/02","Bl – Huckleberry – Feathermoss","",""
"708","ESSFmm1/03","BlPl – Cladina","",""
"709","ESSFmm1/04","Bl – Azalea – Rhododendron","",""
"710","ESSFmm1/05","Bl – Oak fern – Bramble","",""
"711","ESSFmm1/06","Bl – Devil's club – Lady fern","",""
"712","ESSFmm1/07","Bl – Labrador tea – Horsetail","",""
"713","ESSFmm3/101","Bl – Azalea – Bramble","",""
"714","ESSFmm3/102","BlFd – Juniper – Clad lichen","",""
"715","ESSFmm3/103","Bl – Huckleberry – Clad lichen","",""
"716","ESSFmm3/104","Bl – Azalea – Feathermoss","",""
"717","ESSFmm3/110","BlSe – Azalea – Oak fern","",""
"718","ESSFmm3/111","BlSe – Valerian – Leafy liverwort","",""
"719","ESSFmm3/112","Se – Horsetail – Valerian","",""
"720","ESSFmv1/01","Bl – Rhododendron – Feathermoss","",""
"721","ESSFmv1/02","Pl – Huckleberry – Cladonia","",""
"722","ESSFmv1/03","Bl – Huckleberry – Feathermoss","",""
"723","ESSFmv1/04","Bl – Huckleberry – Gooseberry","",""
"724","ESSFmv1/05","Bl – Horsetail – Glow moss","",""
"725","ESSFmv2/01","Bl – Rhododendron – Feathermoss","",""
"726","ESSFmv2/02","Bl – Lingonberry","",""
"727","ESSFmv2/03","BlSb – Labrador tea","CA","cold aspects - cold air"
"728","ESSFmv2/04","Bl – Oak fern – Knight's plume","",""
"729","ESSFmv2/05","Bl – Devil's club – Rhododendron","",""
"730","ESSFmv2/06","Bl – Alder – Horsetail","",""
"731","ESSFmv3/01","Bl – Rhododendron – Feathermoss","",""
"732","ESSFmv3/02","BlPl – Crowberry – Cladina","",""
"733","ESSFmv3/03","BlSb – Labrador tea","CA","cold aspects - cold air"
"734","ESSFmv3/04","Bl – Oak fern – Knight's plume","",""
"735","ESSFmv3/05","Bl – Devil's club – Rhododendron","",""
"736","ESSFmv3/06","Sxw – Huckleberry – High bush-cranberry","",""
"737","ESSFmv3/07","Bl – Horsetail – Feathermoss","",""
"738","ESSFmv3/08","BlPl – Rhododendron","",""
"739","ESSFmv4/01","Bl – Rhododendron – Feathermoss","",""
"740","ESSFmv4/02","BlPl – Crowberry – Cladina","",""
"741","ESSFmv4/03","BlSb – Labrador tea","CA","cold aspects - cold air"
"742","ESSFmv4/04","Bl – Rhododendron – Horsetail","",""
"743","ESSFmv4/05","Bl – Alder – Horsetail","",""
"744","ESSFmw/01","BlBa – Rhododendron","",""
"745","ESSFmw/02","BlPl – Juniper – Racomitrium","",""
"746","ESSFmw/03","Fd – Falsebox – Pinegrass","",""
"747","ESSFmw/04","Bl – Huckleberry – Falsebox","",""
"748","ESSFmw/05","BlBa – Azalea – Pipecleaner moss","",""
"749","ESSFmw/06","Bl – Gooseberry – Valerian","",""
"750","ESSFmw/07","BlBa – Oak fern – Lady fern","",""
"751","ESSFmw/08","Bl – Gooseberry – Horsetail","",""
"752","ESSFmw1/101","BlBa – Rhododendron – Bramble","",""
"753","ESSFmw1/102","PlBl – Grouseberry – Rock mosses","",""
"754","ESSFmw1/102.1","PlBl – Grouseberry – Rock mosses","",""
