"","bgc","ss_nospace","sppsplit","spp","suitability","newsuit","mod","outrange","Zone","Note"
"271","CWHwh2","CWHwh2/111","Hm","Hm",2,NA,"",FALSE,"CWH"," "
"272","CWHwh2","CWHwh2/111","Hw","Hw",2,NA,"",FALSE,"CWH"," "
"273","CWHwh2","CWHwh2/111","Ss","Ss",3,NA,"",FALSE,"CWH"," "
"274","CWHwh2","CWHwh2/112","Hm","Hm",3,NA,"",FALSE,"CWH"," "
"275","CWHwh2","CWHwh2/112","Hw","Hw",2,NA,"",FALSE,"CWH"," "
"276","CWHwh2","CWHwh2/112","Ss","Ss",2,NA,"",FALSE,"CWH"," "
"277","CWHwh2","CWHwh2/112","Yc","Yc",1,NA,"",FALSE,"CWH"," "
"278","CWHwh2","CWHwh2/112a","Hm","Hm",3,NA,"",FALSE,"CWH"," "
"279","CWHwh2","CWHwh2/112a","Hw","Hw",2,NA,"",FALSE,"CWH"," "
"280","CWHwh2","CWHwh2/112a","Ss","Ss",2,NA,"",FALSE,"CWH"," "
"281","CWHwh2","CWHwh2/112a","Yc","Yc",1,NA,"",FALSE,"CWH"," "
"282","CWHwh2","CWHwh2/112b","Hm","Hm",3,NA,"",FALSE,"CWH"," "
"283","CWHwh2","CWHwh2/112b","Hw","Hw",2,NA,"",FALSE,"CWH"," "
"284","CWHwh2","CWHwh2/112b","Ss","Ss",2,NA,"",FALSE,"CWH"," "
"285","CWHwh2","CWHwh2/112b","Yc","Yc",1,NA,"",FALSE,"CWH"," "
"286","ESSFun1","ESSFun1/h","Bl","Bl",2,NA,"",FALSE,"ESSF"," "
"287","ESSFun1","ESSFun1/m","Bl","Bl",1,NA,"",FALSE,"ESSF"," "
"288","ESSFun1","ESSFun1/x","Bl","Bl",1,NA,"",FALSE,"ESSF"," "
"289","ESSFunp","ESSFunp/00","Bl","Bl",3,NA,"",FALSE,"ESSF"," "
"290","MHwh","MHwh/101","Hm","Hm",1,1,"SAS-HAK",FALSE,"MH"," "
"291","MHwh","MHwh/101","Yc","Yc",1,1,"SAS-HAK",FALSE,"MH"," "
"292","MHwh","MHwh/101","Hw","Hw",2,2,"SAS-HAK",FALSE,"MH"," "
"293","MHwh","MHwh/101","Ss","Ss",2,2,"SAS-HAK",FALSE,"MH"," "
"294","MHwh","MHwh/101","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"295","MHwh","MHwh/101a","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"296","MHwh","MHwh/101b","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"297","MHwh","MHwh/101c","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"298","MHwh","MHwh/102","Hm","Hm",2,2,"SAS-HAK",FALSE,"MH"," "
"299","MHwh","MHwh/102","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"300","MHwh","MHwh/102","Plc","Pl",3,3,"SAS-HAK",FALSE,"MH"," "
"301","MHwh","MHwh/102","Yc","Yc",3,3,"SAS-HAK",FALSE,"MH"," "
"302","MHwh","MHwh/110","Hm","Hm",1,1,"SAS-HAK",FALSE,"MH"," "
"303","MHwh","MHwh/110","Yc","Yc",1,1,"SAS-HAK",FALSE,"MH"," "
"304","MHwh","MHwh/110","Ss","Ss",2,2,"SAS-HAK",FALSE,"MH"," "
"305","MHwh","MHwh/110","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"306","MHwh","MHwh/110","Hw","Hw",3,3,"SAS-HAK",FALSE,"MH"," "
"307","MHwh","MHwh/111","Hm","Hm",1,1,"SAS-HAK",FALSE,"MH"," "
"308","MHwh","MHwh/111","Yc","Yc",1,1,"SAS-HAK",FALSE,"MH"," "
"309","MHwh","MHwh/111","Ss","Ss",2,2,"SAS-HAK",FALSE,"MH"," "
"310","MHwh","MHwh/111","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"311","MHwh","MHwh/111","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"312","MHwh","MHwh/111","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"313","MHwh","MHwh/111","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"314","MHwh","MHwh/111","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"315","MHwh","MHwh/111","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"316","MHwh","MHwh/111","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"317","MHwh","MHwh/111","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"318","MHwh","MHwh/111","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"319","MHwh","MHwh/111","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"320","MHwh","MHwh/111","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"321","MHwh","MHwh/111","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"322","MHwh","MHwh/111","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"323","MHwh","MHwh/111","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"324","MHwh","MHwh/111","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"325","MHwh","MHwh/111","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"326","MHwh","MHwh/111","Hw","Hw",3,3,"SAS-HAK",FALSE,"MH"," "
"327","MHwh","MHwh/Wb53","Cw","Cw",3,3,"SAS-HAK",FALSE,"MH"," "
"328","MHwh","MHwh/Wb53","Hm","Hm",3,3,"SAS-HAK",FALSE,"MH"," "
"329","MHwh","MHwh/Wb53","Plc","Pl",3,3,"SAS-HAK",FALSE,"MH"," "
"330","MHwh","MHwh/Wb53","Yc","Yc",3,3,"SAS-HAK",FALSE,"MH"," "
"331","MHwhp","MHwhp/00","Hm","Hm",3,3,"BG",FALSE,"MH"," "
"3110","CDFmm","CDFmm/111","Bg","Bg",3,NA,NA,FALSE,"CDF","imputed"
"3210","CDFmm","CDFmm/Ws53","Fdi","Fd",3,NA,NA,FALSE,"CDF","imputed"
"332","CDFmm","CDFmm/105","Hw","Hw",2,NA,NA,FALSE,"CDF","imputed"
"342","CDFmm","CDFmm/112","Ss","Ss",3,NA,NA,FALSE,"CDF","imputed"
"351","CDFmm","CDFmm/105","Tw","Tw",3,NA,NA,FALSE,"CDF","imputed"
"361","CMAunp","CMAunp/00","Hm","Hm",2,NA,NA,FALSE,"CMA","imputed"
"371","CMAunp","CMAunp/00","Hw","Hw",1,NA,NA,FALSE,"CMA","imputed"
"381","CMAunp","CMAunp/00","Pa","Pa",3,NA,NA,FALSE,"CMA","imputed"
"391","CWHdm2","CWHdm2/101","Ba","Ba",2,NA,NA,FALSE,"CWH","imputed"
"401","CWHdm2","CWHdm2/112.1","Ba","Ba",3,NA,NA,FALSE,"CWH","imputed"
"411","CWHdm2","CWHdm2/111","Ba","Ba",2,NA,NA,FALSE,"CWH","imputed"
"421","CWHdm2","CWHdm2/104","Ba","Ba",3,NA,NA,FALSE,"CWH","imputed"
"431","CWHdm2","CWHdm2/103","Cw","Cw",3,NA,NA,FALSE,"CWH","imputed"
"441","CWHdm2","CWHdm2/102","Cw","Cw",3,NA,NA,FALSE,"CWH","imputed"
"451","CWHdm2","CWHdm2/112.1","Ss","Ss",3,NA,NA,FALSE,"CWH","imputed"
"461","CWHdm2","CWHdm2/110","Ss","Ss",2,NA,NA,FALSE,"CWH","imputed"
"471","CWHdm2","CWHdm2/112.2","Ss","Ss",1,NA,NA,FALSE,"CWH","imputed"
"481","CWHdm2","CWHdm2/111","Ss","Ss",3,NA,NA,FALSE,"CWH","imputed"
"491","CWHdm2","CWHdm2/101","Tw","Tw",4,NA,NA,FALSE,"CWH","imputed"
"501","CWHdm3","CWHdm3/112","Ba","Ba",2,NA,NA,FALSE,"CWH","imputed"
"511","CWHdm3","CWHdm3/101","Ba","Ba",2,NA,NA,FALSE,"CWH","imputed"
"521","CWHdm3","CWHdm3/110","Ba","Ba",3,NA,NA,FALSE,"CWH","imputed"
"532","CWHdm3","CWHdm3/104","Ba","Ba",2,NA,NA,FALSE,"CWH","imputed"
"541","CWHdm3","CWHdm3/110","Ss","Ss",3,NA,NA,FALSE,"CWH","imputed"
"551","CWHds1","CWHds1/101","Ba","Ba",2,NA,NA,FALSE,"CWH","imputed"
"561","CWHds1","CWHds1/101a","Ba","Ba",2,NA,NA,FALSE,"CWH","imputed"
"571","CWHds1","CWHds1/101","Bl","Bl",2,NA,NA,FALSE,"CWH","imputed"
"581","CWHds1","CWHds1/101a","Bl","Bl",2,NA,NA,FALSE,"CWH","imputed"
"5910","CWHds1","CWHds1/101","Hm","Hm",3,NA,NA,FALSE,"CWH","imputed"
"6010","CWHds1","CWHds1/101a","Hm","Hm",3,NA,NA,FALSE,"CWH","imputed"
"616","CWHds1","CWHds1/101","Mv","Mv",3,NA,NA,FALSE,"CWH","imputed"
"621","CWHds1","CWHds1/101a","Mv","Mv",3,NA,NA,FALSE,"CWH","imputed"
"631","CWHds1","CWHds1/110","Mv","Mv",2,NA,NA,FALSE,"CWH","imputed"
"641","CWHds1","CWHds1/104","Mv","Mv",1,NA,NA,FALSE,"CWH","imputed"
"651","CWHds1","CWHds1/101","Ss","Ss",3,NA,NA,FALSE,"CWH","imputed"
"661","CWHds1","CWHds1/101a","Ss","Ss",3,NA,NA,FALSE,"CWH","imputed"
"671","CWHds1","CWHds1/101b","Tw","Tw",3,NA,NA,FALSE,"CWH","imputed"
"681","CWHds1","CWHds1/110","Tw","Tw",3,NA,NA,FALSE,"CWH","imputed"
"691","CWHds1","CWHds1/104","Tw","Tw",3,NA,NA,FALSE,"CWH","imputed"
"701","CWHds1","CWHds1/101","Yc","Yc",2,NA,NA,FALSE,"CWH","imputed"
"711","CWHds1","CWHds1/101a","Yc","Yc",2,NA,NA,FALSE,"CWH","imputed"
"721","CWHds2","CWHds2/101","Ba","Ba",2,NA,NA,FALSE,"CWH","imputed"
"731","CWHmm1","CWHmm1/110","Bg","Bg",3,NA,NA,FALSE,"CWH","imputed"
"741","CWHmm1","CWHmm1/103","Tw","Tw",4,NA,NA,FALSE,"CWH","imputed"
"751","CWHmm1","CWHmm1/101","Yc","Yc",3,NA,NA,FALSE,"CWH","imputed"
"761","CWHmm1","CWHmm1/103","Yc","Yc",3,NA,NA,FALSE,"CWH","imputed"
"771","CWHms3","CWHms3/103","Bl","Bl",2,NA,NA,FALSE,"CWH","imputed"
"781","CWHms3","CWHms3/101","Bl","Bl",2,NA,NA,FALSE,"CWH","imputed"
"791","CWHms3","CWHms3/104","Bl","Bl",4,NA,NA,FALSE,"CWH","imputed"
"801","CWHms3","CWHms3/112","Hm","Hm",3,NA,NA,FALSE,"CWH","imputed"
"811","CWHms3","CWHms3/104","Hm","Hm",4,NA,NA,FALSE,"CWH","imputed"
"821","CWHms3","CWHms3/103","Mv","Mv",4,NA,NA,FALSE,"CWH","imputed"
"831","CWHms3","CWHms3/101","Pw","Pw",3,NA,NA,FALSE,"CWH","imputed"
"841","CWHms3","CWHms3/104","Sx","Sx",4,NA,NA,FALSE,"CWH","imputed"
"851","CWHms3","CWHms3/104","Tw","Tw",3,NA,NA,FALSE,"CWH","imputed"
"861","CWHms3","CWHms3/103","Yc","Yc",3,NA,NA,FALSE,"CWH","imputed"
"871","CWHms4","CWHms4/104","Ba","Ba",3,NA,NA,FALSE,"CWH","imputed"
"881","CWHms4","CWHms4/105","Bl","Bl",3,NA,NA,FALSE,"CWH","imputed"
"891","CWHms4","CWHms4/112","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"901","CWHms4","CWHms4/104","Hm","Hm",3,NA,NA,FALSE,"CWH","imputed"
"911","CWHms4","CWHms4/101","Mv","Mv",2,NA,NA,FALSE,"CWH","imputed"
"921","CWHms4","CWHms4/110","Mv","Mv",2,NA,NA,FALSE,"CWH","imputed"
"931","CWHms4","CWHms4/104","Mv","Mv",3,NA,NA,FALSE,"CWH","imputed"
"941","CWHms4","CWHms4/103","Mv","Mv",4,NA,NA,FALSE,"CWH","imputed"
"951","CWHms4","CWHms4/104","Plc","Pl",2,NA,NA,FALSE,"CWH","imputed"
"961","CWHms4","CWHms4/110","Tw","Tw",3,NA,NA,FALSE,"CWH","imputed"
"971","CWHms4","CWHms4/105","Yc","Yc",2,NA,NA,FALSE,"CWH","imputed"
"981","CWHms5","CWHms5/103.2","Bg","Bg",3,NA,NA,FALSE,"CWH","imputed"
"991","CWHms5","CWHms5/103.1","Bg","Bg",2,NA,NA,FALSE,"CWH","imputed"
"1001","CWHms5","CWHms5/110","Bl","Bl",2,NA,NA,FALSE,"CWH","imputed"
"1011","CWHms5","CWHms5/103.1","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"1021","CWHms5","CWHms5/112","Hm","Hm",3,NA,NA,FALSE,"CWH","imputed"
"1031","CWHms5","CWHms5/101.1","Mv","Mv",3,NA,NA,FALSE,"CWH","imputed"
"1041","CWHms5","CWHms5/103.2","Mv","Mv",3,NA,NA,FALSE,"CWH","imputed"
"1051","CWHms5","CWHms5/101","Mv","Mv",1,NA,NA,FALSE,"CWH","imputed"
"1061","CWHms5","CWHms5/101.2","Mv","Mv",1,NA,NA,FALSE,"CWH","imputed"
"1071","CWHms5","CWHms5/110","Mv","Mv",3,NA,NA,FALSE,"CWH","imputed"
"1081","CWHms5","CWHms5/103.1","Mv","Mv",2,NA,NA,FALSE,"CWH","imputed"
"1091","CWHms5","CWHms5/101.2","Plc","Pl",3,NA,NA,FALSE,"CWH","imputed"
"1101","CWHms5","CWHms5/101.2","Ss","Ss",3,NA,NA,FALSE,"CWH","imputed"
"1111","CWHms5","CWHms5/102","Sx","Sx",4,NA,NA,FALSE,"CWH","imputed"
"1121","CWHms5","CWHms5/103.1","Tw","Tw",3,NA,NA,FALSE,"CWH","imputed"
"1131","CWHms5","CWHms5/101.2","Yc","Yc",2,NA,NA,FALSE,"CWH","imputed"
"1141","CWHms5","CWHms5/103","Yc","Yc",3,NA,NA,FALSE,"CWH","imputed"
"1151","CWHms5","CWHms5/103.1","Yc","Yc",3,NA,NA,FALSE,"CWH","imputed"
"1161","CWHms5","CWHms5/103.2","Yc","Yc",3,NA,NA,FALSE,"CWH","imputed"
"1171","CWHvh1","CWHvh1/103","Fdc","Fd",3,NA,NA,FALSE,"CWH","imputed"
"1181","CWHvh1","CWHvh1/102","Tw","Tw",4,NA,NA,FALSE,"CWH","imputed"
"1191","CWHvh1","CWHvh1/112","Tw","Tw",3,NA,NA,FALSE,"CWH","imputed"
"1201","CWHvh1","CWHvh1/103","Tw","Tw",3,NA,NA,FALSE,"CWH","imputed"
"1211","CWHvh1","CWHvh1/101","Tw","Tw",3,NA,NA,FALSE,"CWH","imputed"
"1221","CWHvh1","CWHvh1/Ws54","Tw","Tw",4,NA,NA,FALSE,"CWH","imputed"
"1231","CWHvh1","CWHvh1/Ws56","Tw","Tw",4,NA,NA,FALSE,"CWH","imputed"
"1241","CWHvh2","CWHvh2/113","Ba","Ba",3,NA,NA,FALSE,"CWH","imputed"
"1251","CWHvh2","CWHvh2/104","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"1261","CWHvh2","CWHvh2/105","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"1271","CWHvh2","CWHvh2/103","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"1281","CWHvh2","CWHvh2/112","Hm","Hm",3,NA,NA,FALSE,"CWH","imputed"
"1291","CWHvh2","CWHvh2/110","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"1301","CWHvh2","CWHvh2/102","Hm","Hm",3,NA,NA,FALSE,"CWH","imputed"
"1311","CWHvh2","CWHvh2/Wb53","Hm","Hm",3,NA,NA,FALSE,"CWH","imputed"
"1321","CWHvh2","CWHvh2/101","Tw","Tw",3,NA,NA,FALSE,"CWH","imputed"
"1331","CWHvh2","CWHvh2/113","Tw","Tw",4,NA,NA,FALSE,"CWH","imputed"
"1341","CWHvh2","CWHvh2/110","Tw","Tw",4,NA,NA,FALSE,"CWH","imputed"
"1351","CWHvh2","CWHvh2/112","Yc","Yc",1,NA,NA,FALSE,"CWH","imputed"
"1361","CWHvh3","CWHvh3/101","Ba","Ba",2,NA,NA,FALSE,"CWH","imputed"
"1371","CWHvh3","CWHvh3/110","Ba","Ba",1,NA,NA,FALSE,"CWH","imputed"
"1381","CWHvh3","CWHvh3/114","Ba","Ba",2,NA,NA,FALSE,"CWH","imputed"
"1391","CWHvh3","CWHvh3/105","Ba","Ba",2,NA,NA,FALSE,"CWH","imputed"
"1401","CWHvh3","CWHvh3/103.2","Dr","Dr",3,NA,NA,FALSE,"CWH","imputed"
"1411","CWHvh3","CWHvh3/106","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"1421","CWHvh3","CWHvh3/112","Hm","Hm",3,NA,NA,FALSE,"CWH","imputed"
"1431","CWHvh3","CWHvh3/117","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"1441","CWHvh3","CWHvh3/110","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"1451","CWHvh3","CWHvh3/103.1","Hw","Hw",1,NA,NA,FALSE,"CWH","imputed"
"1461","CWHvh3","CWHvh3/103.2","Ss","Ss",1,NA,NA,FALSE,"CWH","imputed"
"1471","CWHvh3","CWHvh3/103.1","Ss","Ss",2,NA,NA,FALSE,"CWH","imputed"
"1481","CWHvh3","CWHvh3/101a","Tw","Tw",3,NA,NA,FALSE,"CWH","imputed"
"1491","CWHvh3","CWHvh3/115","Tw","Tw",3,NA,NA,FALSE,"CWH","imputed"
"1501","CWHvh3","CWHvh3/112","Yc","Yc",1,NA,NA,FALSE,"CWH","imputed"
"1511","CWHvm1","CWHvm1/113","Ba","Ba",3,NA,NA,FALSE,"CWH","imputed"
"1521","CWHvm1","CWHvm1/102","Ba","Ba",3,NA,NA,FALSE,"CWH","imputed"
"1531","CWHvm1","CWHvm1/Wb51","Ba","Ba",2,NA,NA,FALSE,"CWH","imputed"
"1541","CWHvm1","CWHvm1/Wb55","Ba","Ba",2,NA,NA,FALSE,"CWH","imputed"
"1551","CWHvm1","CWHvm1/Fl51","Cw","Cw",2,NA,NA,FALSE,"CWH","imputed"
"1561","CWHvm1","CWHvm1/110","Ep","Ep",2,NA,NA,FALSE,"CWH","imputed"
"1571","CWHvm1","CWHvm1/112.2","Fdc","Fd",3,NA,NA,FALSE,"CWH","imputed"
"1581","CWHvm1","CWHvm1/103","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"1591","CWHvm1","CWHvm1/101","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"1601","CWHvm1","CWHvm1/111","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"1611","CWHvm1","CWHvm1/111.2","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"1621","CWHvm1","CWHvm1/112","Hm","Hm",3,NA,NA,FALSE,"CWH","imputed"
"1631","CWHvm1","CWHvm1/112.2","Hm","Hm",3,NA,NA,FALSE,"CWH","imputed"
"1641","CWHvm1","CWHvm1/112.1","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"1651","CWHvm1","CWHvm1/110","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"1661","CWHvm1","CWHvm1/105","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"1671","CWHvm1","CWHvm1/102","Hm","Hm",3,NA,NA,FALSE,"CWH","imputed"
"1681","CWHvm1","CWHvm1/111.1","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"1691","CWHvm1","CWHvm1/Fl51","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"1701","CWHvm1","CWHvm1/114","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"1711","CWHvm1","CWHvm1/Fl51","Hw","Hw",1,NA,NA,FALSE,"CWH","imputed"
"1721","CWHvm1","CWHvm1/110","Mv","Mv",3,NA,NA,FALSE,"CWH","imputed"
"1731","CWHvm1","CWHvm1/101","Mv","Mv",3,NA,NA,FALSE,"CWH","imputed"
"1741","CWHvm1","CWHvm1/Fl51","Plc","Pl",2,NA,NA,FALSE,"CWH","imputed"
"1751","CWHvm1","CWHvm1/111.2","Pw","Pw",3,NA,NA,FALSE,"CWH","imputed"
"1761","CWHvm1","CWHvm1/113","Pw","Pw",3,NA,NA,FALSE,"CWH","imputed"
"1771","CWHvm1","CWHvm1/101","Pw","Pw",3,NA,NA,FALSE,"CWH","imputed"
"1781","CWHvm1","CWHvm1/111","Pw","Pw",3,NA,NA,FALSE,"CWH","imputed"
"1791","CWHvm1","CWHvm1/102","Pw","Pw",3,NA,NA,FALSE,"CWH","imputed"
"1801","CWHvm1","CWHvm1/104","Pw","Pw",3,NA,NA,FALSE,"CWH","imputed"
"1811","CWHvm1","CWHvm1/103","Tw","Tw",3,NA,NA,FALSE,"CWH","imputed"
"1821","CWHvm1","CWHvm1/110","Tw","Tw",3,NA,NA,FALSE,"CWH","imputed"
"1831","CWHvm1","CWHvm1/Fl51","Tw","Tw",3,NA,NA,FALSE,"CWH","imputed"
"1841","CWHvm1","CWHvm1/113","Tw","Tw",4,NA,NA,FALSE,"CWH","imputed"
"1851","CWHvm1","CWHvm1/103","Yc","Yc",2,NA,NA,FALSE,"CWH","imputed"
"1861","CWHvm1","CWHvm1/101","Yc","Yc",2,NA,NA,FALSE,"CWH","imputed"
"1871","CWHvm1","CWHvm1/Fl51","Yc","Yc",1,NA,NA,FALSE,"CWH","imputed"
"1881","CWHvm1","CWHvm1/Ws54","Yc","Yc",2,NA,NA,FALSE,"CWH","imputed"
"1891","CWHvm1","CWHvm1/Ws56","Yc","Yc",2,NA,NA,FALSE,"CWH","imputed"
"1901","CWHvm1","CWHvm1/105","Yc","Yc",2,NA,NA,FALSE,"CWH","imputed"
"1911","CWHvm1","CWHvm1/114","Yc","Yc",2,NA,NA,FALSE,"CWH","imputed"
"1921","CWHvm2","CWHvm2/102","Ba","Ba",3,NA,NA,FALSE,"CWH","imputed"
"1931","CWHvm2","CWHvm2/101","Bl","Bl",3,NA,NA,FALSE,"CWH","imputed"
"1941","CWHvm2","CWHvm2/110","Bl","Bl",1,NA,NA,FALSE,"CWH","imputed"
"1951","CWHvm2","CWHvm2/112","Dr","Dr",2,NA,NA,FALSE,"CWH","imputed"
"1961","CWHvm2","CWHvm2/112.2","Dr","Dr",2,NA,NA,FALSE,"CWH","imputed"
"1971","CWHvm2","CWHvm2/110","Dr","Dr",4,NA,NA,FALSE,"CWH","imputed"
"1981","CWHvm2","CWHvm2/111.1","Pw","Pw",2,NA,NA,FALSE,"CWH","imputed"
"1991","CWHvm2","CWHvm2/102","Pw","Pw",3,NA,NA,FALSE,"CWH","imputed"
"2001","CWHvm2","CWHvm2/115","Ss","Ss",1,NA,NA,FALSE,"CWH","imputed"
"2011","CWHvm2","CWHvm2/111.1","Tw","Tw",3,NA,NA,FALSE,"CWH","imputed"
"2021","CWHvm2","CWHvm2/101","Tw","Tw",3,NA,NA,FALSE,"CWH","imputed"
"2031","CWHvm2","CWHvm2/112.1","Tw","Tw",4,NA,NA,FALSE,"CWH","imputed"
"2041","CWHvm2","CWHvm2/105","Tw","Tw",3,NA,NA,FALSE,"CWH","imputed"
"2051","CWHvm3","CWHvm3/Ws56","Ba","Ba",2,NA,NA,FALSE,"CWH","imputed"
"2061","CWHvm3","CWHvm3/Wb51","Ba","Ba",2,NA,NA,FALSE,"CWH","imputed"
"2071","CWHvm3","CWHvm3/Wb53","Ba","Ba",2,NA,NA,FALSE,"CWH","imputed"
"2081","CWHvm3","CWHvm3/113","Ba","Ba",3,NA,NA,FALSE,"CWH","imputed"
"2091","CWHvm3","CWHvm3/Fl51","Cw","Cw",2,NA,NA,FALSE,"CWH","imputed"
"2101","CWHvm3","CWHvm3/110","Ep","Ep",2,NA,NA,FALSE,"CWH","imputed"
"2111","CWHvm3","CWHvm3/101","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"2121","CWHvm3","CWHvm3/111","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"2131","CWHvm3","CWHvm3/111.2","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"2141","CWHvm3","CWHvm3/112","Hm","Hm",3,NA,NA,FALSE,"CWH","imputed"
"2151","CWHvm3","CWHvm3/112.2","Hm","Hm",3,NA,NA,FALSE,"CWH","imputed"
"2161","CWHvm3","CWHvm3/112.1","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"2171","CWHvm3","CWHvm3/110","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"2181","CWHvm3","CWHvm3/103","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"2191","CWHvm3","CWHvm3/104","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"2201","CWHvm3","CWHvm3/111.1","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"2211","CWHvm3","CWHvm3/102","Hm","Hm",3,NA,NA,FALSE,"CWH","imputed"
"2221","CWHvm3","CWHvm3/Fl51","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"2231","CWHvm3","CWHvm3/114","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"2241","CWHvm3","CWHvm3/Fl51","Hw","Hw",1,NA,NA,FALSE,"CWH","imputed"
"2251","CWHvm3","CWHvm3/Fl51","Plc","Pl",2,NA,NA,FALSE,"CWH","imputed"
"2261","CWHvm3","CWHvm3/101","Pw","Pw",3,NA,NA,FALSE,"CWH","imputed"
"2271","CWHvm3","CWHvm3/111","Pw","Pw",3,NA,NA,FALSE,"CWH","imputed"
"2281","CWHvm3","CWHvm3/111.2","Pw","Pw",3,NA,NA,FALSE,"CWH","imputed"
"2291","CWHvm3","CWHvm3/Fl51","Tw","Tw",3,NA,NA,FALSE,"CWH","imputed"
"2301","CWHvm3","CWHvm3/110","Tw","Tw",4,NA,NA,FALSE,"CWH","imputed"
"2311","CWHvm3","CWHvm3/113","Tw","Tw",3,NA,NA,FALSE,"CWH","imputed"
"2321","CWHvm3","CWHvm3/103","Yc","Yc",2,NA,NA,FALSE,"CWH","imputed"
"2331","CWHvm3","CWHvm3/101","Yc","Yc",2,NA,NA,FALSE,"CWH","imputed"
"2341","CWHvm3","CWHvm3/Fl51","Yc","Yc",1,NA,NA,FALSE,"CWH","imputed"
"2351","CWHvm3","CWHvm3/Ws54","Yc","Yc",2,NA,NA,FALSE,"CWH","imputed"
"2361","CWHvm3","CWHvm3/Ws56","Yc","Yc",2,NA,NA,FALSE,"CWH","imputed"
"2371","CWHvm3","CWHvm3/104","Yc","Yc",2,NA,NA,FALSE,"CWH","imputed"
"2381","CWHvm3","CWHvm3/114","Yc","Yc",2,NA,NA,FALSE,"CWH","imputed"
"2391","CWHvm4","CWHvm4/102","Ba","Ba",3,NA,NA,FALSE,"CWH","imputed"
"2401","CWHvm4","CWHvm4/112","Dr","Dr",2,NA,NA,FALSE,"CWH","imputed"
"2411","CWHvm4","CWHvm4/111","Plc","Pl",3,NA,NA,FALSE,"CWH","imputed"
"2421","CWHvm4","CWHvm4/111","Pw","Pw",2,NA,NA,FALSE,"CWH","imputed"
"2431","CWHvm4","CWHvm4/113","Pw","Pw",3,NA,NA,FALSE,"CWH","imputed"
"2441","CWHvm4","CWHvm4/113","Tw","Tw",4,NA,NA,FALSE,"CWH","imputed"
"2451","CWHwh1","CWHwh1/Wb51","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
"2461","CWHwh1","CWHwh1/116","Hm","Hm",2,NA,NA,FALSE,"CWH","imputed"
