"","bgc","ss_nospace","sppsplit","suitability","spp","newsuit","mod","outrange","Zone","Note","Region"
"113","ESSFxvw","ESSFxvw/08","Pli",2,"Pl",NA,NA,FALSE,"ESSF",NA,"CAR"
"114","ESSFxvw","ESSFxvw/09","Pli",2,"Pl",NA,NA,FALSE,"ESSF",NA,"CAR"
"115","ESSFxvw","ESSFxvw/10","Pli",3,"Pl",NA,NA,FALSE,"ESSF",NA,"CAR"
"116","ESSFxvw","ESSFxvw/01","Sx",3,"Sx",NA,NA,FALSE,"ESSF","imputed","CAR"
"117","ESSFxvw","ESSFxvw/10","Sxw",2,"Sx",NA,NA,FALSE,"ESSF",NA,"CAR"
"118","ICHdk","ICHdk/04","Ac",4,"Ac",NA,NA,FALSE,"ICH","imputed","CAR"
"119","ICHdk","ICHdk/01","Lw",3,"Lw",NA,NA,TRUE,"ICH",NA,"CAR"
"120","ICHdk","ICHdk/04","Lw",3,"Lw",NA,NA,TRUE,"ICH",NA,"CAR"
"121","ICHdk","ICHdk/05","Lw",3,"Lw",NA,NA,TRUE,"ICH",NA,"CAR"
"122","ICHdw3","ICHdw3/08","At",3,"At",NA,NA,FALSE,"ICH",NA,"TO"
"123","ICHdw3","ICHdw3/08","Ep",3,"Ep",NA,NA,FALSE,"ICH",NA,"TO"
"124","ICHdw3","ICHdw3/02","Lw",3,"Lw",NA,NA,TRUE,"ICH",NA,"TO"
"125","ICHmc2","ICHmc2/02","At",3,"At",NA,NA,FALSE,"ICH",NA,"SKE"
"126","ICHmc2","ICHmc2/05","At",2,"At",NA,NA,FALSE,"ICH",NA,"SKE"
"127","ICHmc2","ICHmc2/01","Ba",5,"Ba",NA,NA,FALSE,"ICH",NA,"SKE"
"128","ICHmc2","ICHmc2/02","Ba",5,"Ba",NA,NA,FALSE,"ICH",NA,"SKE"
"129","ICHmc2","ICHmc2/01","Ep",2,"Ep",NA,NA,FALSE,"ICH",NA,"SKE"
"130","ICHmc2","ICHmc2/02","Ep",3,"Ep",NA,NA,FALSE,"ICH",NA,"SKE"
"131","ICHmc2","ICHmc2/05","Ep",1,"Ep",NA,NA,FALSE,"ICH",NA,"SKE"
"132","ICHmc2","ICHmc2/04","Ss",3,"Ss",NA,NA,FALSE,"ICH","imputed","SKE"
"133","ICHmc2","ICHmc2/05","Ss",2,"Ss",NA,NA,FALSE,"ICH","imputed","SKE"
"134","ICHmc2","ICHmc2/02","Ss",3,"Ss",NA,NA,FALSE,"ICH","imputed","SKE"
"135","ICHmk2","ICHmk2/06","Fdi",2,"Fd",NA,NA,FALSE,"ICH","imputed","TO"
"136","ICHmk3","ICHmk3/01","Lw",3,"Lw",NA,NA,TRUE,"ICH",NA,"CAR"
"137","ICHmk3","ICHmk3/03","Lw",3,"Lw",NA,NA,TRUE,"ICH",NA,"CAR"
"138","ICHmk3","ICHmk3/04","Lw",3,"Lw",NA,NA,TRUE,"ICH",NA,"CAR"
"139","ICHvc","ICHvc/02","Ac",4,"Ac",NA,NA,FALSE,"ICH","imputed","SKE"
"140","ICHvc","ICHvc/01","At",3,"At",NA,NA,FALSE,"ICH",NA,"SKE"
"141","ICHvc","ICHvc/01.1","At",3,"At",NA,NA,FALSE,"ICH",NA,"SKE"
"142","ICHvc","ICHvc/01.2","At",3,"At",NA,NA,FALSE,"ICH",NA,"SKE"
"143","ICHvc","ICHvc/02","At",3,"At",NA,NA,FALSE,"ICH",NA,"SKE"
"144","ICHvc","ICHvc/02.1","At",3,"At",NA,NA,FALSE,"ICH",NA,"SKE"
"145","ICHvc","ICHvc/02.2","At",3,"At",NA,NA,FALSE,"ICH",NA,"SKE"
"146","ICHvc","ICHvc/03","At",3,"At",NA,NA,FALSE,"ICH",NA,"SKE"
"147","ICHvc","ICHvc/03a","At",3,"At",NA,NA,FALSE,"ICH",NA,"SKE"
"148","ICHvc","ICHvc/03b","At",3,"At",NA,NA,FALSE,"ICH",NA,"SKE"
"149","ICHvc","ICHvc/04","At",3,"At",NA,NA,FALSE,"ICH",NA,"SKE"
"150","ICHvc","ICHvc/05","At",3,"At",NA,NA,FALSE,"ICH",NA,"SKE"
